institute_type,institute_short,program_name,category,quota,pool,round_no,program_duration,degree_short,year,opening_rank,closing_rank,closing_rank_avg,closing_rank_std,latest_recorded_year
IIT,IIT-Kharagpur,Chemical Engineering,GEN,AI,Gender-Neutral,1,5 Years,B.Tech + M.Tech (IDD),2021,4054.0,4910.0,4910.0,0.0,2021
IIT,IIT-Hyderabad,Computational Engineering,GEN,AI,Gender-Neutral,1,4 Years,B.Tech,2021,1089.0,1356.0,1356.0,0.0,2021
IIT,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,GEN,AI,Gender-Neutral,1,5 Years,B.Tech + M.Tech (IDD),2021,8681.0,8990.0,8990.0,0.0,2021
IIT,IIT-Jodhpur,Bio Engineering,GEN,AI,Female-Only,1,4 Years,B.Tech,2021,13733.0,20783.0,20783.0,0.0,2021
IIT,IIT-Delhi,Chemical Engineering,GEN,AI,Gender-Neutral,2,4 Years,B.Tech,2021,1490.0,2220.0,2220.0,0.0,2021
IIT,IIT-Delhi,Mathematics and Computing,GEN,AI,Gender-Neutral,2,4 Years,B.Tech,2021,120.0,315.0,315.0,0.0,2021
NIT,NIT-Bhopal,Mechanical Engineering,OBC-NCL,HS,Female-Only,1,4 Years,B.Tech,2021,14589.0,17961.0,17961.0,0.0,2021
NIT,NIT-Agartala,Electrical Engineering,OBC-NCL,OS,Gender-Neutral,1,4 Years,B.Tech,2021,8615.0,9356.0,9356.0,0.0,2021
NIT,NIT-Hamirpur,Computer Science and Engineering,OBC-NCL,HS,Gender-Neutral,1,4 Years,B.Tech,2021,6814.0,19969.0,19969.0,0.0,2021
NIT,NIT-Hamirpur,Mathematics and Computing,OBC-NCL,HS,Gender-Neutral,1,4 Years,B.Tech,2021,33453.0,61618.0,61618.0,0.0,2021
NIT,NIT-Jamshedpur,Computer Science and Engineering,OBC-NCL,OS,Gender-Neutral,1,4 Years,B.Tech,2021,1421.0,2581.0,2581.0,0.0,2021
NIT,NIT-Jamshedpur,Mechanical Engineering,OBC-NCL,HS,Gender-Neutral,1,4 Years,B.Tech,2021,6461.0,7772.0,7772.0,0.0,2021
NIT,NIT-Karnataka-Surathkal,Civil Engineering,GEN,HS,Female-Only,1,4 Years,B.Tech,2021,19077.0,25292.0,25292.0,0.0,2021
NIT,NIT-Meghalaya,Mechanical Engineering,GEN,HS,Female-Only,1,4 Years,B.Tech,2021,285300.0,285300.0,285300.0,0.0,2021
NIT,NIT-Raipur,Information Technology,GEN,OS,Gender-Neutral,1,4 Years,B.Tech,2021,9564.0,11195.0,11195.0,0.0,2021
IIT,IIT-Hyderabad,Industrial Chemistry,SC,AI,Gender-Neutral,1,4 Years,B.Tech,2021,1909.0,1909.0,1909.0,0.0,2021
IIT,IIT-Tirupati,Electrical Engineering,SC,AI,Female-Only,1,4 Years,B.Tech,2021,2002.0,2050.0,2050.0,0.0,2021
