SNo,Rank,Allotted Quota,Institute,Course,Allotted Category,Candidate Category,Remarks
1,1,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
2,2,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
3,3,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
4,4,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
5,5,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
6,6,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
7,7,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
8,8,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
9,9,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
10,10,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
11,11,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
12,12,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
13,13,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
14,14,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
15,15,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
16,16,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
17,17,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
18,18,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
19,19,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
20,20,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
21,21,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
22,22,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
23,23,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
24,24,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
25,25,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
26,26,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
27,27,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
28,28,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
29,29,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
30,30,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
31,31,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
32,32,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
33,33,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
34,34,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
35,35,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
36,36,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
37,37,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
38,38,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
39,39,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
40,40,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
41,41,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
42,42,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
43,43,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
44,44,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
45,45,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
46,46,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
47,47,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
48,48,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
49,49,All India,Vardhman Mahavir,MBBS,Reported,-,-
50,50,Open Seat,JIPMER,MBBS,Reported,-,-
51,51,All India,Vardhman Mahavir,MBBS,Reported,-,-
52,52,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
53,53,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
54,54,All India,Maulana Azad,MBBS,Reported,-,-
55,55,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
56,56,Open Seat,JIPMER,MBBS,Reported,-,-
57,57,All India,Maulana Azad,MBBS,Reported,-,-
58,58,All India,Vardhman Mahavir,MBBS,Reported,-,-
59,59,Open Seat,JIPMER,MBBS,Reported,-,-
60,60,"Open Seat AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
61,61,Open Seat,"AIIMS, New Delhi",MBBS,Not,-,-
62,62,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
63,63,Open Seat,JIPMER,MBBS,Reported,-,-
64,64,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
65,65,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
66,66,All India,Vardhman Mahavir,MBBS,Reported,-,-
67,67,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
68,68,All India,Maulana Azad,MBBS,Reported,-,-
69,69,All India,Maulana Azad,MBBS,Reported,-,-
70,70,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
71,71,All India,GOVERNMENT,MBBS,Reported,-,-
72,72,Open Seat,JIPMER,MBBS,Reported,-,-
73,73,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
74,74,All India,Maulana Azad,MBBS,Reported,-,-
75,75,All India,Maulana Azad,MBBS,Reported,-,-
