SNo,Rank,Allotted Quota,Institute,Course,Allotted Category,Candidate Category,Remarks
1,1,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
2,2,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
3,3,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
4,4,All India,BELGAUM INST. OF,MBBS,Reported,-,-
5,5,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
6,6,Open Seat,"AIIMS, New Delhi",MBBS,Not,-,-
7,7,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
8,8,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
9,9,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
10,10,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
11,11,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
12,12,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
13,13,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
14,14,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
15,15,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
16,16,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
17,17,Open Seat,JIPMER,MBBS,Reported,-,-
18,18,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
19,19,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
20,20,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
21,21,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
22,22,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
23,23,Open Seat,"AIIMS, New Delhi",MBBS,Not,-,-
24,24,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
25,25,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
26,26,All India,"MEDICAL COLLEGE,",MBBS,Reported,-,-
27,27,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
28,29,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
29,30,Open Seat,JIPMER,MBBS,Reported,-,-
30,31,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
31,32,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
32,33,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
33,34,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
34,35,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
35,36,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
36,37,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
37,38,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
38,39,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
39,40,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
40,41,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
41,42,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
42,43,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
43,44,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
44,45,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
45,46,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
46,47,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
47,48,All India,B.J. MEDICAL,MBBS,Reported,-,-
48,49,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
49,50,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
50,51,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
51,52,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
52,53,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
53,54,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
54,55,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
55,56,Open Seat,JIPMER,MBBS,Reported,-,-
56,57,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
57,58,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
58,59,All India,Maulana Azad,MBBS,Reported,Open Seat,"AIIMS, New Delhi ,"
59,60,All India,MADRAS MEDICAL,MBBS,Reported,-,-
60,61,Open Seat,"AIIMS-Bhopal,",MBBS,Reported,Open Seat,"AIIMS, New Delhi ,"
61,62,Open Seat,JIPMER,MBBS,Reported,-,-
62,64,All India,Maulana Azad,MBBS,Reported,-,-
63,65,All India,Maulana Azad,MBBS,Reported,-,-
64,66,Open Seat,JIPMER,MBBS,Reported,-,-
65,67,All India,Maulana Azad,MBBS,Reported,-,-
66,68,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
67,69,All India,Maulana Azad,MBBS,Reported,-,-
68,70,Foreign,"AIIMS, New Delhi",MBBS,Reported,-,-
69,71,All India,Maulana Azad,MBBS,Reported,-,-
70,72,All India,MADRAS MEDICAL,MBBS,Reported,Open Seat,"AIIMS, Bhubaneswar"
71,73,All India,B.J. MEDICAL,MBBS,Reported,-,-
72,74,All India,Maulana Azad,MBBS,Reported,-,-
73,75,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
74,76,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
