SNo,Rank,Allotted Quota,Institute,Course,Allotted Category,Candidate Category,Remarks
1,1(A),Open Seat,JIPMER,MBBS,Reported,-,-
2,1(B),Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
3,3,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
4,4,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
5,5,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
6,6,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
7,7,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
8,8,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
9,9,Open Seat,JIPMER,MBBS,Reported,-,-
10,10,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
11,11,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
12,12,All India INST OF PG MED,MBBS,Reported,-,-,-
13,13,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
14,14,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
15,15,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
16,16,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
17,17,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
18,18,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
19,19,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
20,20,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
21,21,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
22,22,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
23,24,All India,MADRAS MEDICAL,MBBS,Not,-,-
24,25,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
25,26,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
26,27,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
27,28,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
28,29,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
29,30,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
30,31,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
31,32,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
32,33,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
33,34,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
34,35,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
35,36,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
36,37,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
37,38,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
38,39,All India,Atal Bihari Vajpayee,MBBS,Reported,-,-
39,40,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
40,41,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
41,42,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
42,43,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
43,44,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
44,45,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
45,46,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
46,47,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
47,48,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
48,49,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
49,50,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
50,51,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
51,52,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
52,53,All India,SETH G.S. MEDICAL,MBBS,Reported,-,-
53,54,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
54,55,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
55,56,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
56,57,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
57,58,All India,Maulana Azad,MBBS,Reported,-,-
58,59,All India,Vardhman Mahavir,MBBS,Reported,-,-
59,60,All India,Maulana Azad,MBBS,Reported,Open Seat,JIPMER
60,61,Open Seat,JIPMER,MBBS,Reported,-,-
61,62,All India,Maulana Azad,MBBS,Reported,-,-
62,63,"Open Seat AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
63,64,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
64,65,Open Seat,JIPMER,MBBS,Reported,-,-
65,66,All India,Maulana Azad,MBBS,Reported,-,-
66,67,"Open Seat AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
67,68,Open Seat,JIPMER,MBBS,Reported,-,-
68,69,All India,Maulana Azad,MBBS,Reported,-,-
69,70,All India SETH G.S. MEDICAL,MBBS,Reported,-,-,-
70,71,All India,Maulana Azad,MBBS,Reported,-,-
71,72,All India,Maulana Azad,MBBS,Reported,-,-
72,73,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
73,74,All India,Maulana Azad,MBBS,Reported,-,-
74,75,Open Seat,JIPMER,MBBS,Reported,-,-
75,76,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
76,77,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
77,78,All India,Maulana Azad,MBBS,Reported,-,-
78,79,All India,Maulana Azad,MBBS,Reported,-,-
79,80,All India,Maulana Azad,MBBS,Reported,-,-
80,81,All India,Maulana Azad,MBBS,Reported,-,-
81,82,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
82,83,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
83,84,All India,Maulana Azad,MBBS,Reported,-,-
84,85,All India,Maulana Azad,MBBS,Reported,-,-
85,86,All India,Vardhman Mahavir,MBBS,Reported,-,-
86,87,All India,Vardhman Mahavir,MBBS,Reported,All India,Maulana Azad
87,88,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
88,89,All India,Vardhman Mahavir,MBBS,Reported,-,-
89,90,Delhi,Maulana Azad,MBBS,Reported,-,-
90,91,Open Seat,JIPMER,MBBS,Reported,-,-
91,92,All India,Vardhman Mahavir,MBBS,Reported,-,-
92,93,All India,Vardhman Mahavir,MBBS,Reported,-,-
93,94,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
94,95,Delhi,Maulana Azad,MBBS,Reported,-,-
95,96,Delhi,Maulana Azad,MBBS,Reported,-,-
96,97,All India,SETH G.S. MEDICAL,MBBS,Reported,-,-
97,98,Open Seat,JIPMER,MBBS,Reported,-,-
98,99,All India,Vardhman Mahavir,MBBS,Reported,-,-
99,100,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
100,101,All India,Vardhman Mahavir,MBBS,Reported,-,-
101,102,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
102,103,Open Seat,JIPMER,MBBS,Reported,-,-
103,104,All India,Vardhman Mahavir,MBBS,Reported,-,-
104,105,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
105,106,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
106,107,All India,Vardhman Mahavir,MBBS,Reported,-,-
107,108,All IndiaM.P. SHAH MEDICAL,MBBS,Reported,-,-,-
108,109,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
109,110,Open Seat,JIPMER,MBBS,Reported,-,-
110,111,All IndiaSETH G.S. MEDICAL,MBBS,Reported,-,-,-
111,112,"Open Seat AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
112,113,All India,Atal Bihari Vajpayee,MBBS,Reported,All India,Vardhman Mahavir
113,114,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
114,115,Open Seat,JIPMER,MBBS,Reported,-,-
115,116,Open Seat,JIPMER,MBBS,Reported,-,-
116,117,Open Seat,JIPMER,MBBS,Reported,-,-
117,118,Open Seat,JIPMER,MBBS,Reported,-,-
118,119,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
119,120,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
120,121,Open Seat,JIPMER,MBBS,Reported,-,-
121,122,Delhi,Maulana Azad,MBBS,Reported,-,-
122,123,Open Seat,JIPMER,MBBS,Reported,-,-
123,124,Open Seat,JIPMER,MBBS,Reported,-,-
124,125,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
125,126,Delhi,Maulana Azad,MBBS,Reported,-,-
126,127,All India,University College of,MBBS,Reported,-,-
127,128,All India,S.M.S. MEDICAL,MBBS,Reported,All India,Atal Bihari Vajpayee
128,129,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
129,130,All India GOVERNMENT,MBBS,Reported,-,-,-
130,131,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
131,132,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
132,133,Open Seat,"AIIMS-Bhopal,",MBBS,Reported,-,-
133,134,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
134,135,Open Seat,JIPMER,MBBS,Reported,-,-
135,136,Open Seat,"AIIMS, Rishikesh",MBBS,Reported,-,-
136,137,Open Seat,"AIIMS-Bhopal,",MBBS,Reported,-,-
137,138,Open Seat,JIPMER,MBBS,Reported,-,-
138,139,Open Seat,JIPMER,MBBS,Reported,-,-
139,140,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
140,141,Open Seat,JIPMER,MBBS,Reported,-,-
141,142,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
142,143,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
143,144,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
144,145,Open Seat,JIPMER,MBBS,Reported,-,-
145,146,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
146,147,All India,SETH G.S. MEDICAL,MBBS,Reported,-,-
147,148,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
148,149,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
149,150,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
150,151,Delhi,Maulana Azad,MBBS,Reported,-,-
151,152,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
152,153,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
153,154,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
154,155,Open Seat,Jawaharlal Nehru,MBBS,Reported,-,-
155,156,Delhi,Maulana Azad,MBBS,Reported,-,-
156,157,All India,GOVERNMENT,MBBS,Reported,-,-
157,158,"Open Seat AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
158,159,Delhi,Maulana Azad,MBBS,Reported,-,-
159,160,"Open Seat AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
160,161,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
161,162,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
162,163,Open Seat,JIPMER,MBBS,Reported,-,-
163,164,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
164,165,Open Seat,JIPMER,MBBS,Reported,-,-
165,166,IP,Vardhman Mahavir,MBBS,Reported,-,-
166,167,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
167,168,Open Seat,JIPMER,MBBS,Reported,-,-
168,169,Open Seat,JIPMER,MBBS,Reported,-,-
169,170,All India,Atal Bihari Vajpayee,MBBS,Reported,Open Seat,"AIIMS, Jodhpur ,"
170,171,Open Seat,JIPMER,MBBS,Reported,-,-
171,172,Open Seat,JIPMER,MBBS,Reported,-,-
172,173,Open Seat,"AIIMS-Bhopal,",MBBS,Reported,-,-
173,174,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
174,175,Open Seat,JIPMER,MBBS,Reported,-,-
175,176,All India,University College of,MBBS,Reported,-,-
176,177,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
177,178,All India,Atal Bihari Vajpayee,MBBS,Reported,-,-
178,179,All India,"MEDICAL COLLEGE,",MBBS,Reported,-,-
179,180,Open Seat,JIPMER,MBBS,Reported,-,-
180,181,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
181,182,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
182,183,Delhi,Maulana Azad,MBBS,Reported,-,-
183,184,Open Seat,INST.OF,MBBS,Reported,-,-
184,185,All India Atal Bihari Vajpayee,MBBS,Reported,-,-,-
185,186,Delhi,Maulana Azad,MBBS,Reported,-,-
186,187,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
187,188,Delhi,Maulana Azad,MBBS,Reported,-,-
188,189,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
189,190,All India,SETH G.S. MEDICAL,MBBS,Reported,-,-
190,191,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
191,192,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
192,193,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
193,194,All India,SETH G.S. MEDICAL,MBBS,Reported,All India,VARDHMAN
194,195,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
195,196,All India University College of,MBBS,Reported,-,-,-
196,197,Delhi,Maulana Azad,MBBS,Reported,-,-
197,198,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
198,199,Open Seat,JIPMER,MBBS,Reported,-,-
199,200,Delhi,Maulana Azad,MBBS,Reported,-,-
200,201,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
201,202,Delhi,Maulana Azad,MBBS,Reported,-,-
202,203,All India,Lady Hardinge,MBBS,Reported,All India,Atal Bihari Vajpayee
203,204,All India,Lady Hardinge,MBBS,Reported,-,-
204,205,"Open Seat AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
205,206,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
206,207,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
207,208,Delhi,Maulana Azad,MBBS,Reported,-,-
208,209,Open Seat,"AIIMS, Nagpur",MBBS,Reported,-,-
209,210,Open Seat,JIPMER,MBBS,Reported,-,-
210,211,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
211,212,Open Seat,JIPMER,MBBS,Not,All India,Bangalore Medical
212,213,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
213,214,All India,GOVT.MEDICAL,MBBS,Reported,-,-
214,215,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
215,216,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
216,217,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
217,218,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
218,219,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
219,220,Open Seat,JIPMER,MBBS,Reported,-,-
220,221,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
221,222,Open Seat,JIPMER,MBBS,Reported,-,-
222,223,Open Seat,"AIIMS, New Delhi",MBBS,Not,Open Seat,"AIIMS, New Delhi ,"
223,224,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
224,225,Delhi,Maulana Azad,MBBS,Reported,-,-
225,226,Open Seat,JIPMER,MBBS,Reported,-,-
226,227,Open Seat,JIPMER,MBBS,Reported,-,-
227,228,Open Seat,JIPMER,MBBS,Reported,-,-
228,229,Open Seat,JIPMER,MBBS,Reported,-,-
229,230,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
230,231,Open Seat,"AIIMS-Bhopal,",MBBS,Reported,-,-
231,232,Open Seat,JIPMER,MBBS,Reported,-,-
232,233,All India,Dr. B.S.A. Medical,MBBS,Reported,-,-
233,234,All India,University College of,MBBS,Reported,Open Seat,"AIIMS, Jodhpur ,"
234,235,Delhi,Maulana Azad,MBBS,Reported,-,-
235,236,All India,Lady Hardinge,MBBS,Reported,-,-
236,237,Open Seat,JIPMER,MBBS,Reported,-,-
237,238,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
238,239,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
239,240,Open Seat,JIPMER,MBBS,Reported,-,-
240,241,Open Seat,JIPMER,MBBS,Reported,-,-
241,242,Open Seat,JIPMER,MBBS,Reported,-,-
242,243,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
243,244,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
244,245,All India,GOVERNMENT,MBBS,Reported,-,-
245,246,Open Seat,JIPMER,MBBS,Reported,-,-
246,247,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
247,248,All India SETH G.S. MEDICAL,MBBS,Reported,-,-,-
248,249,Open Seat,JIPMER,MBBS,Reported,-,-
249,250,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
250,251,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
251,252,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
252,253,Open Seat,JIPMER,MBBS,Reported,-,-
253,254,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
254,255,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
255,256,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
256,257,All India University College of,MBBS,Reported,-,-,-
257,258,All India,Maulana Azad,MBBS,Reported,-,-
258,259,"Open Seat AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
259,260,Open Seat,JIPMER,MBBS,Reported,-,-
260,261,Delhi,Maulana Azad,MBBS,Reported,-,-
261,262,All India University College of,MBBS,Reported,-,-,-
262,263,All India,B.J. MEDICAL,MBBS,Reported,-,-
263,264,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
264,265,Open Seat,JIPMER,MBBS,Reported,-,-
265,266,All India University College of,MBBS,Reported,-,-,-
266,267,All India,Maulana Azad,MBBS,Reported,-,-
267,268,Open Seat,JIPMER,MBBS,Reported,-,-
268,269,Open Seat,JIPMER,MBBS,Reported,-,-
269,270,All India,Lady Hardinge,MBBS,Reported,-,-
270,271,Delhi,Maulana Azad,MBBS,Reported,-,-
271,272,All India,Lady Hardinge,MBBS,Reported,-,-
272,273,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
273,274,Open Seat,JIPMER,MBBS,Reported,-,-
274,275,All India,Maulana Azad,MBBS,Reported,-,-
275,276,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
276,277,Open Seat,JIPMER,MBBS,Reported,-,-
277,278,All India,B.J. MEDICAL,MBBS,Reported,-,-
278,279,Open Seat,"AIIMS-Bhopal,",MBBS,Reported,-,-
279,280,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
280,281,Delhi,Maulana Azad,MBBS,Reported,-,-
281,282,All India,GOVERNMENT,MBBS,Reported,-,-
282,283,"Open Seat AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
283,284,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
284,285,Open Seat,JIPMER,MBBS,Reported,-,-
285,286,Open Seat,JIPMER,MBBS,Reported,-,-
286,287,Open Seat,JIPMER,MBBS,Reported,-,-
287,288,Delhi,Maulana Azad,MBBS,Reported,-,-
288,289,Delhi,Maulana Azad,MBBS,Reported,-,-
289,290,All India,Maulana Azad,MBBS,Reported,-,-
290,291,"Open Seat AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
291,292,All India,MADRAS MEDICAL,MBBS,Reported,-,-
292,293,All India,Maulana Azad,MBBS,Reported,-,-
293,294,Open Seat,"AIIMS-Bhopal,",MBBS,Reported,-,-
294,295,Open Seat,INST.OF,MBBS,Reported,-,-
295,296,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
296,297,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
297,298,Open Seat,"AIIMS-Bhopal,",MBBS,Reported,-,-
298,299,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
299,300,All India,Maulana Azad,MBBS,Reported,-,-
300,301,Open Seat,"AIIMS, New Delhi",MBBS,Reported,-,-
301,302,All India,University College of,MBBS,Reported,-,-
302,303,Open Seat,"AIIMS-Bhopal,",MBBS,Reported,-,-
303,304,All India,University College of,MBBS,Reported,-,-
304,305,Open Seat,"AIIMS-Bhopal,",MBBS,Reported,-,-
305,306,All India,Vardhman Mahavir,MBBS,Reported,-,-
306,307,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
307,308,All India,Lady Hardinge,MBBS,Reported,-,-
308,309,Open Seat,"AIIMS-Bhopal,",MBBS,Reported,-,-
309,310,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
310,311,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
311,312,All India,GOVERNMENT,MBBS,Reported,-,-
312,313,"Open Seat AIIMS, Bhubaneswar",MBBS,Reported,-,-,-
313,314,Delhi,Maulana Azad,MBBS,Reported,-,-
314,315,All India,B.J. MEDICAL,MBBS,Reported,-,-
315,316,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
316,317,All India SETH G.S. MEDICAL,MBBS,Reported,-,-,-
317,318,Open Seat,"AIIMS-Bhopal,",MBBS,Reported,-,-
318,319,All India,GOVT.MEDICAL,MBBS,Reported,-,-
319,320,All India,Lady Hardinge,MBBS,Reported,-,-
320,321,All India,Maulana Azad,MBBS,Reported,-,-
321,322,Open Seat,AIIMS Mangalagiri,MBBS,Reported,-,-
322,323,Open Seat,"AIIMS, Bhubaneswar",MBBS,Reported,-,-
323,324,Open Seat,"AIIMS, Bhubaneswar",MBBS,Not,All India,GOVT. MEDICAL
324,325,All India,B.J. MEDICAL,MBBS,Reported,-,-
325,326,-,-,-,-,Open Seat,"AIIMS, Bhubaneswar"
326,327,All India,Vardhman Mahavir,MBBS,Reported,-,-
327,328,Delhi,Maulana Azad,MBBS,Reported,-,-
328,329,All India,Maulana Azad,MBBS,Reported,-,-
329,330,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
330,331,All India SETH G.S. MEDICAL,MBBS,Reported,-,-,-
331,332,Open Seat,JIPMER,MBBS,Reported,-,-
332,333,Open Seat,JIPMER,MBBS,Reported,-,-
333,334,All India,Maulana Azad,MBBS,Not,All India,Maulana Azad
334,335,Delhi,Maulana Azad,MBBS,Reported,-,-
335,336,Open Seat,JIPMER,MBBS,Reported,-,-
336,337,Open Seat,JIPMER,MBBS,Reported,-,-
337,338,All India,Vardhman Mahavir,MBBS,Reported,-,-
338,339,Open Seat,AIIMS Mangalagiri,MBBS,Reported,-,-
339,340,All India,Atal Bihari Vajpayee,MBBS,Reported,Open Seat,Jawaharlal Nehru
340,341,Open Seat,"AIIMS, Nagpur",MBBS,Reported,-,-
341,342,-,-,-,-,All India,B.J. Government
342,343,Delhi,Maulana Azad,MBBS,Reported,-,-
343,344,All India,GOVERNMENT,MBBS,Reported,-,-
344,345,Open Seat,JIPMER,MBBS,Reported,-,-
345,346,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
346,347,Open Seat,"AIIMS, Jodhpur",MBBS,Reported,-,-
347,348,Open Seat,"AIIMS, Bhubaneswar",MBBS,Not,-,-
348,349,Open Seat,JIPMER,MBBS,Reported,-,-
349,350,All India,Maulana Azad,MBBS,Reported,-,-
350,351,Open Seat,JIPMER,MBBS,Reported,-,-
