institute_type,institute_short,program_name,category,quota,pool,round_no,program_duration,degree_short,year,opening_rank,closing_rank,closing_rank_avg,closing_rank_std,latest_recorded_year
IIT,IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,GEN,AI,Female-Only,7,5 Years,B.Tech + M.Tech (IDD),2018,11096.0,11096.0,11096.0,0.0,2018
NIT,NIT-Durgapur,Electronics and Communication Engineering,GEN-EWS,HS,Female-Only,7,4 Years,B.Tech,2019,18852.0,18852.0,18852.0,0.0,2019
IIT,IIT-Bombay,Metallurgical Engineering and Materials Science,GEN,AI,Female-Only,6,4 Years,B.Tech,2020,6491.0,8056.0,8056.0,0.0,2020
IIT,IIT-Kharagpur,Industrial and Systems Engineering,GEN,AI,Female-Only,6,4 Years,B.Tech,2020,7698.0,9028.0,9028.0,0.0,2020
IIT,IIT-Hyderabad,Artificial Intelligence,GEN,AI,Gender-Neutral,6,4 Years,B.Tech,2020,434.0,645.0,645.0,0.0,2020
IIT,IIT-Hyderabad,Chemical Engineering,GEN,AI,Female-Only,6,4 Years,B.Tech,2020,8276.0,9030.0,9030.0,0.0,2020
NIT,NIT-Bhopal,Electronics and Communication Engineering,GEN,HS,Gender-Neutral,6,4 Years,B.Tech,2020,5720.0,13395.0,13395.0,0.0,2020
NIT,NIT-Allahabad,Production and Industrial Engineering,GEN,OS,Female-Only,6,4 Years,B.Tech,2020,35012.0,42632.0,42632.0,0.0,2020
NIT,NIT-Jalandhar,Mechanical Engineering,OBC-NCL,OS,Female-Only,6,4 Years,B.Tech,2020,15886.0,17909.0,17909.0,0.0,2020
IIT,IIT-Bombay,Engineering Physics,SC,AI,Female-Only,6,4 Years,B.Tech,2020,1924.0,1944.0,1944.0,0.0,2020
IIT,IIT-Kharagpur,Industrial and Systems Engineering,SC,AI,Female-Only,6,4 Years,B.Tech,2020,2213.0,2213.0,2213.0,0.0,2020
IIT,IIT-Hyderabad,Civil Engineering,SC,AI,Gender-Neutral,6,4 Years,B.Tech,2020,1100.0,1477.0,1477.0,0.0,2020
IIT,IIT-Roorkee,Production and Industrial Engineering,SC,AI,Gender-Neutral,6,4 Years,B.Tech,2020,1434.0,1620.0,1620.0,0.0,2020
NIT,NIT-Agartala,Mechanical Engineering,SC,OS,Gender-Neutral,6,4 Years,B.Tech,2020,4500.0,7125.0,7125.0,0.0,2020
IIT,IIT-Bombay,Electrical Engineering,GEN-EWS,AI,Female-Only,6,4 Years,B.Tech,2020,73.0,73.0,73.0,0.0,2020
IIT,IIT-Kharagpur,Industrial and Systems Engineering,GEN-EWS,AI,Female-Only,6,4 Years,B.Tech,2020,1336.0,1336.0,1336.0,0.0,2020
IIT,IIT-Patna,Mechanical Engineering,GEN-EWS,AI,Gender-Neutral,6,4 Years,B.Tech,2020,1307.0,1517.0,1517.0,0.0,2020
IIT,IIT-(ISM) Dhanbad,Engineering Physics,GEN-EWS,AI,Female-Only,6,4 Years,B.Tech,2020,3517.0,3517.0,3517.0,0.0,2020
IIT,IIT-Goa,Electrical Engineering,GEN-EWS,AI,Female-Only,6,4 Years,B.Tech,2020,2945.0,2945.0,2945.0,0.0,2020
NIT,NIT-Agartala,Biotechnology and Biochemical Engineering,GEN-EWS,HS,Gender-Neutral,6,4 Years,B.Tech,2020,40619.0,44060.0,44060.0,0.0,2020
NIT,NIT-Calicut,Bio Technology,GEN,OS,Female-Only,6,4 Years,B.Tech,2020,25363.0,25363.0,25363.0,0.0,2020
NIT,NIT-Durgapur,Electronics and Communication Engineering,GEN,HS,Gender-Neutral,6,4 Years,B.Tech,2020,12914.0,21644.0,21644.0,0.0,2020
NIT,NIT-Puducherry,Civil Engineering,GEN,OS,Female-Only,6,4 Years,B.Tech,2020,40912.0,40912.0,40912.0,0.0,2020
NIT,NIT-Rourkela,Bio Technology,GEN,OS,Female-Only,6,4 Years,B.Tech,2020,20912.0,22493.0,22493.0,0.0,2020
IIT,IIT-Guwahati,Computer Science and Engineering,GEN,AI,Gender-Neutral,7,4 Years,B.Tech,2018,333.0,554.0,554.0,0.0,2018
IIT,IIT-Tirupati,Computer Science and Engineering,GEN,AI,Gender-Neutral,7,4 Years,B.Tech,2018,2834.0,3850.0,3850.0,0.0,2018
NIT,NIT-Jaipur,Mechanical Engineering,GEN-EWS,OS,Gender-Neutral,7,4 Years,B.Tech,2019,1767.0,2034.0,2034.0,0.0,2019
NIT,NIT-Allahabad,Electronics and Communication Engineering,GEN-EWS,OS,Female-Only,7,4 Years,B.Tech,2019,1544.0,1544.0,1544.0,0.0,2019
NIT,NIT-Agartala,Computer Science and Engineering,GEN-EWS,HS,Gender-Neutral,7,4 Years,B.Tech,2019,14756.0,36686.0,36686.0,0.0,2019
NIT,NIT-Hamirpur,Computer Science and Engineering,GEN-EWS,HS,Gender-Neutral,7,5 Years,Btech + M.Tech (IDD),2019,7229.0,10815.0,10815.0,0.0,2019
IIT,IIT-Bombay,Aerospace Engineering,GEN,AI,Gender-Neutral,6,4 Years,B.Tech,2020,807.0,2070.0,2070.0,0.0,2020
IIT,IIT-Kharagpur,Mining Safety Engineering,GEN,AI,Female-Only,6,5 Years,B.Tech + M.Tech (IDD),2020,16514.0,18540.0,18540.0,0.0,2020
IIT,IIT-Hyderabad,Engineering Science,GEN,AI,Gender-Neutral,6,4 Years,B.Tech,2020,2111.0,3167.0,3167.0,0.0,2020
IIT,IIT-Bhubaneswar,Mechanical Engineering,OBC-NCL,AI,Female-Only,6,4 Years,B.Tech,2020,4479.0,6273.0,6273.0,0.0,2020
IIT,IIT-Kanpur,Economics,OBC-NCL,AI,Female-Only,6,4 Years,BSc,2020,4954.0,5716.0,5716.0,0.0,2020
IIT,IIT-Guwahati,Computer Science and Engineering,OBC-NCL,AI,Female-Only,6,4 Years,B.Tech,2020,1134.0,1387.0,1387.0,0.0,2020
IIT,IIT-Mandi,Engineering Physics,SC,AI,Female-Only,6,4 Years,B.Tech,2020,2906.0,2906.0,2906.0,0.0,2020
IIT,IIT-Roorkee,Electronics and Communication Engineering,SC,AI,Gender-Neutral,6,4 Years,B.Tech,2020,139.0,333.0,333.0,0.0,2020
IIT,IIT-Bhubaneswar,Computer Science and Engineering,GEN-EWS,AI,Gender-Neutral,6,4 Years,B.Tech,2020,249.0,282.0,282.0,0.0,2020
IIT,IIT-Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,GEN-EWS,AI,Gender-Neutral,6,5 Years,B.Tech + M.Tech (IDD),2020,999.0,999.0,999.0,0.0,2020
IIT,IIT-Bhubaneswar,Mechanical Engineering,GEN-EWS,AI,Gender-Neutral,6,4 Years,B.Tech,2020,969.0,1338.0,1338.0,0.0,2020
IIT,IIT-Mandi,Data Science and Engineering,GEN-EWS,AI,Female-Only,6,4 Years,B.Tech,2020,1553.0,1553.0,1553.0,0.0,2020
IIT,IIT-(BHU) Varanasi,Electronics Engineering,GEN-EWS,AI,Gender-Neutral,6,4 Years,B.Tech,2020,288.0,416.0,416.0,0.0,2020
NIT,NIT-Jalandhar,Chemical Engineering,GEN-EWS,OS,Gender-Neutral,6,4 Years,B.Tech,2020,6168.0,6413.0,6413.0,0.0,2020
NIT,NIT-Bhopal,Civil Engineering,GEN-EWS,OS,Female-Only,6,4 Years,B.Tech,2020,8110.0,8110.0,8110.0,0.0,2020
NIT,NIT-Bhopal,Electrical Engineering,GEN-EWS,OS,Gender-Neutral,6,4 Years,B.Tech,2020,2879.0,2958.0,2958.0,0.0,2020
