College Code,College Name,Seat Category,Branch Code,Branch Name,Cutoff Rank
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,AE,Aeronautical Engineering,104061
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,AI,Artificial Intelligence & Machine Learning,52746
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,BT,"Bio-
technology",105937
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,CD,Computer Science & Engineering (Data Science),53623
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,CS,Computer Science & Engineering,51728
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,CV,Civil Engineering,90907
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,EC,Electronics & Communicati on Engineering,89548
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,EE,Electrical & Electronics Engineering,104887
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,IS,Information Science & Engineering,75143
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,ME,Mechanical Engineering,107616
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,MT,Mechatronics Engineering,90218
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,RI,Robotics & Artificial Intelligence,70413
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,AI,Artificial Intelligence & Machine Learning,92733
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,AS,Aerospace Engineering,90119
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,CS,Computer Science & Engineering,104746
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,CY,Computer Science & Engineering (Cyber Security),98461
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",GM,AI,Artificial Intelligence & Machine Learning,106484
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",GM,CD,Computer Science & Engineering (Data Science),86772
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",GM,CS,Computer Science & Engineering,59442
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,AD,Artificial Intelligence & Data Science,71024
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),91347
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,CS,Computer Science & Engineering,111733
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,CY,Computer Science & Engineering (Cyber Security),104762
