College Code,College Name,Seat Category,Branch Code,Branch Name,Cutoff Rank
E001,Acharya Institute of Technology,GM,AE,Aeronautical Engineering,63649
E001,Acharya Institute of Technology,GM,AI,Artificial Intelligence & Machine Learning,27873
E001,Acharya Institute of Technology,GM,BT,Biotechnology,43325
E001,Acharya Institute of Technology,GM,CD,Computer Science & Engineering (Data Science),24270
E001,Acharya Institute of Technology,GM,CS,Computer Science & Engineering,20937
E001,Acharya Institute of Technology,GM,CV,Civil Engineering,36369
E001,Acharya Institute of Technology,GM,EC,Electronics & Communication Engineering,41637
E001,Acharya Institute of Technology,GM,EE,Electrical & Electronics Engineering,48068
E001,Acharya Institute of Technology,GM,IS,Information Science & Engineering,27122
E001,Acharya Institute of Technology,GM,ME,Mechanical Engineering,55791
E001,Acharya Institute of Technology,GM,MT,Mechatronics Engineering,39904
E001,Acharya Institute of Technology,KKR,AI,Artificial Intelligence & Machine Learning,42006
E001,Acharya Institute of Technology,KKR,CS,Computer Science & Engineering,41733
E001,Acharya Institute of Technology,KKR,EC,Electronics & Communication Engineering,68247
E001,Acharya Institute of Technology,KKR,IS,Information Science & Engineering,51530
E003,ACS College of Engineering,GM,AE,Aeronautical Engineering,54096
E003,ACS College of Engineering,GM,CD,Computer Science & Engineering (Data Science),74630
E003,ACS College of Engineering,GM,CS,Computer Science & Engineering,71353
E003,ACS College of Engineering,GM,CSI,Computer Science & Engineering (IOT),48627
E003,ACS College of Engineering,GM,CY,Computer Science & Engineering (Cyber Security),75197
E004,Adichunchanagiri Institute of Technology,GM,AI,Artificial Intelligence & Machine Learning,38997
E004,Adichunchanagiri Institute of Technology,GM,CD,Computer Science & Engineering (Data Science),67889
E004,Adichunchanagiri Institute of Technology,GM,CS,Computer Science & Engineering,73700
E004,Adichunchanagiri Institute of Technology,GM,IS,Information Science & Engineering,76345
E005,Akash Institute Of Engineering & Technology,GM,CS,Computer Science & Engineering,19761
E006,Alva's Institute of Engineering and Technology,GM,CS,Computer Science & Engineering,60696
E006,Alva's Institute of Engineering and Technology,GM,CSI,Computer Science & Engineering (IOT),69037
E007,A M C Engineering College,GM,AE,Aeronautical Engineering,59057
E007,A M C Engineering College,GM,AI,Artificial Intelligence & Machine Learning,55365
E007,A M C Engineering College,GM,CD,Computer Science & Engineering (Data Science),68681
E007,A M C Engineering College,GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),75956
E007,A M C Engineering College,GM,CS,Computer Science & Engineering,50066
E007,A M C Engineering College,GM,EC,Electronics & Communication Engineering,74561
E007,A M C Engineering College,GM,IS,Information Science & Engineering,76934
E007,A M C Engineering College,GM,ME,Mechanical Engineering,71936
E007,A M C Engineering College,KKR,AI,Artificial Intelligence & Machine Learning,68989
E007,A M C Engineering College,KKR,CD,Computer Science & Engineering (Data Science),62914
E007,A M C Engineering College,KKR,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),50230
E007,A M C Engineering College,KKR,CS,Computer Science & Engineering,73800
E009,Angadi Institute of Technology and Management,GM,CS,Computer Science & Engineering,53995
E011,APS College of Engineering,GM,CI,Computer Science & Engineering (Artificial Intelligence & Machine Learning),57506
E011,APS College of Engineering,GM,CS,Computer Science & Engineering,37527
E011,APS College of Engineering,GM,CY,Computer Science & Engineering (Cyber Security),59477
E011,APS College of Engineering,GM,IS,Information Science & Engineering,54098
E012,Atria Institute of Technology,GM,AI,Artificial Intelligence & Machine Learning,42289
E012,Atria Institute of Technology,GM,CD,Computer Science & Engineering (Data Science),37947
E012,Atria Institute of Technology,GM,CG,Computer Science & Design,77098
E012,Atria Institute of Technology,GM,CS,Computer Science & Engineering,33565
E012,Atria Institute of Technology,GM,EC,Electronics & Communication Engineering,71245
E012,Atria Institute of Technology,GM,IS,Information Science & Engineering,54758
E012,Atria Institute of Technology,KKR,CS,Computer Science & Engineering,48014
E012,Atria Institute of Technology,KKR,IS,Information Science & Engineering,73156
E013,Akshaya Institute of Technology,GM,CS,Computer Science & Engineering,72581
E015,B.N.M. Institute of Technology,GM,AI,Artificial Intelligence & Machine Learning,18768
E015,B.N.M. Institute of Technology,GM,CS,Computer Science & Engineering,13468
E015,B.N.M. Institute of Technology,GM,EC,Electronics & Communication Engineering,27483
E015,B.N.M. Institute of Technology,GM,EE,Electrical & Electronics Engineering,58275
E015,B.N.M. Institute of Technology,GM,IS,Information Science & Engineering,16054
E015,B.N.M. Institute of Technology,KKR,AI,Artificial Intelligence & Machine Learning,37141
E015,B.N.M. Institute of Technology,KKR,CS,Computer Science & Engineering,30131
E015,B.N.M. Institute of Technology,KKR,EC,Electronics & Communication Engineering,67095
E015,B.N.M. Institute of Technology,KKR,IS,Information Science & Engineering,31101
E016,K.L.E Technological University (Formerly known as BVBCET),GM,AM,Automation & Robotics Engineering,47768
E016,K.L.E Technological University (Formerly known as BVBCET),GM,BT,Biotechnology,41697
E016,K.L.E Technological University (Formerly known as BVBCET),GM,CA,Computer Science & Engineering (Artificial Intelligence),16522
E016,K.L.E Technological University (Formerly known as BVBCET),GM,CS,Computer Science & Engineering,13698
E016,K.L.E Technological University (Formerly known as BVBCET),GM,CV,Civil Engineering,63900
E016,K.L.E Technological University (Formerly known as BVBCET),GM,EC,Electronics & Communication Engineering,25804
E016,K.L.E Technological University (Formerly known as BVBCET),GM,EE,Electrical & Electronics Engineering,40085
E016,K.L.E Technological University (Formerly known as BVBCET),GM,ME,Mechanical Engineering,72169
E016,K.L.E Technological University (Formerly known as BVBCET),GM,VD,Electronics Engineering (VLSI Design & Technology),33313
E016,K.L.E Technological University (Formerly known as BVBCET),KKR,AM,Automation & Robotics Engineering,55364
E016,K.L.E Technological University (Formerly known as BVBCET),KKR,CA,Computer Science & Engineering (Artificial Intelligence),23771
E016,K.L.E Technological University (Formerly known as BVBCET),KKR,CS,Computer Science & Engineering,20244
E016,K.L.E Technological University (Formerly known as BVBCET),KKR,EC,Electronics & Communication Engineering,41181
E016,K.L.E Technological University (Formerly known as BVBCET),KKR,EE,Electrical & Electronics Engineering,52763
E016,K.L.E Technological University (Formerly known as BVBCET),KKR,VD,Electronics Engineering (VLSI Design & Technology),49224
E017,Ballari Institute of Technology & Management,GM,AI,Artificial Intelligence & Machine Learning,68882
E017,Ballari Institute of Technology & Management,GM,CS,Computer Science & Engineering,75616
E017,Ballari Institute of Technology & Management,GM,EC,Electronics & Communication Engineering,60604
E017,Ballari Institute of Technology & Management,KKR,AI,Artificial Intelligence & Machine Learning,54662
E017,Ballari Institute of Technology & Management,KKR,CS,Computer Science & Engineering,69943
E018,Bangalore College of Engineering & Technology,GM,AI,Artificial Intelligence & Machine Learning,67530
E018,Bangalore College of Engineering & Technology,GM,CS,Computer Science & Engineering,45561
E018,Bangalore College of Engineering & Technology,GM,EC,Electronics & Communication Engineering,40818
E018,Bangalore College of Engineering & Technology,GM,EE,Electrical & Electronics Engineering,34877
E018,Bangalore College of Engineering & Technology,GM,IS,Information Science & Engineering,64020
E019,Bangalore Institute of Technology,GM,AI,Artificial Intelligence & Machine Learning,7544
E019,Bangalore Institute of Technology,GM,CD,Computer Science & Engineering (Data Science),6552
E019,Bangalore Institute of Technology,GM,CS,Computer Science & Engineering,5790
E019,Bangalore Institute of Technology,GM,CV,Civil Engineering,75937
E019,Bangalore Institute of Technology,GM,EC,Electronics & Communication Engineering,13399
E019,Bangalore Institute of Technology,GM,EE,Electrical & Electronics Engineering,22677
E019,Bangalore Institute of Technology,GM,EI,Electronics & Instrumentation Engineering,26935
E019,Bangalore Institute of Technology,GM,ET,Electronics & Telecommunicatio n Engineering,20645
E019,Bangalore Institute of Technology,GM,IC,Computer Science & Engineering (IOT & Cyber Security Including Block Chain Technology),7711
E019,Bangalore Institute of Technology,GM,IS,Information Science & Engineering,8584
E019,Bangalore Institute of Technology,GM,ME,Mechanical Engineering,72312
E019,Bangalore Institute of Technology,GM,RI,Robotics & Artificial Intelligence,10276
E019,Bangalore Institute of Technology,GM,VD,Electronics Engineering (VLSI Design & Technology),24905
E019,Bangalore Institute of Technology,KKR,AI,Artificial Intelligence & Machine Learning,21302
E019,Bangalore Institute of Technology,KKR,CD,Computer Science & Engineering (Data Science),23570
E019,Bangalore Institute of Technology,KKR,CS,Computer Science & Engineering,16470
E019,Bangalore Institute of Technology,KKR,EC,Electronics & Communication Engineering,37337
E019,Bangalore Institute of Technology,KKR,EI,Electronics & Instrumentation Engineering,63562
E019,Bangalore Institute of Technology,KKR,ET,Electronics & Telecommunicatio n Engineering,39957
E019,Bangalore Institute of Technology,KKR,IC,Computer Science & Engineering (IOT & Cyber Security Including Block Chain Technology),29202
E019,Bangalore Institute of Technology,KKR,IS,Information Science & Engineering,22630
E019,Bangalore Institute of Technology,KKR,RI,Robotics & Artificial Intelligence,35580
E020,Bangalore Technological Institute,GM,CE,Computer Engineering,63850
E020,Bangalore Technological Institute,GM,CS,Computer Science & Engineering,54897
E020,Bangalore Technological Institute,GM,EC,Electronics & Communication Engineering,70412
E021,Bapuji Institute of Engineering & Technology,GM,AI,Artificial Intelligence & Machine Learning,71042
E021,Bapuji Institute of Engineering & Technology,GM,CB,Computer Science & Business Systems,66142
E021,Bapuji Institute of Engineering & Technology,GM,CD,Computer Science & Engineering (Data Science),68933
E021,Bapuji Institute of Engineering & Technology,GM,CG,Computer Science & Design,69866
E021,Bapuji Institute of Engineering & Technology,GM,CS,Computer Science & Engineering,43225
E021,Bapuji Institute of Engineering & Technology,GM,EC,Electronics & Communication Engineering,74189
E021,Bapuji Institute of Engineering & Technology,GM,EE,Electrical & Electronics Engineering,69053
E021,Bapuji Institute of Engineering & Technology,GM,IS,Information Science & Engineering,76228
E021,Bapuji Institute of Engineering & Technology,KKR,AI,Artificial Intelligence & Machine Learning,56722
E021,Bapuji Institute of Engineering & Technology,KKR,CS,Computer Science & Engineering,54138
E021,Bapuji Institute of Engineering & Technology,KKR,EC,Electronics & Communication Engineering,76630
