iter	Passed	Remaining
273	38211	73354
274	38346	73207
275	38540	73170
276	38709	73087
277	38956	73148
278	39128	73067
279	39343	73067
280	39501	72958
281	39670	72869
282	39851	72802
283	40040	72749
284	40311	72842
285	40468	72729
286	40595	72562
287	40728	72407
288	40922	72357
289	41093	72268
290	41336	72303
291	41547	72280
292	41849	72415
293	42205	72638
294	42811	73287
295	43715	74434
296	44181	74826
297	44478	74927
298	45081	75538
299	45681	76135
300	46117	76453
301	46385	76489
302	46833	76818
303	47244	77083
304	47707	77427
305	48038	77552
306	48241	77469
307	48498	77471
308	48731	77434
309	48962	77393
310	49274	77476
311	49550	77502
312	49780	77453
313	49998	77385
314	50243	77358
315	50458	77284
316	50738	77308
317	50979	77270
318	51248	77274
319	51490	77236
320	51705	77155
321	52115	77364
322	52678	77793
323	53069	77965
324	53451	78122
325	53868	78323
326	54308	78556
327	54628	78612
328	55049	78809
329	55389	78887
330	55700	78923
331	55965	78891
332	56204	78821
333	56441	78747
334	56700	78703
335	57061	78798
336	57370	78820
337	57583	78708
338	57791	78589
339	57999	78469
340	58209	78351
341	58417	78231
342	58630	78116
343	58846	78005
344	59061	77893
345	59284	77789
346	59547	77737
347	59793	77663
348	60055	77608
349	60302	77531
350	60576	77489
351	60853	77449
352	61298	77621
353	61561	77560
354	61788	77453
355	62074	77418
356	62569	77642
357	63011	77796
358	63303	77763
359	63550	77673
360	63880	77682
361	64178	77651
362	64431	77566
363	64697	77494
364	64945	77400
365	65181	77292
366	65439	77207
367	65680	77103
368	65887	76957
369	66168	76898
370	66490	76885
371	67312	77445
372	67624	77414
373	67876	77313
374	68224	77320
375	68479	77221
376	68706	77089
377	68919	76941
378	69120	76780
379	69332	76630
380	69521	76455
381	69700	76269
382	69866	76069
383	70031	75867
384	70344	75825
385	70495	75608
386	70691	75441
387	70914	75301
388	71114	75136
389	71327	74984
390	71472	74762
391	71642	74566
392	71895	74456
393	72034	74228
394	72290	74120
395	72504	73969
396	72675	73774
397	72869	73601
398	73054	73420
399	73190	73190
400	73336	72970
401	73544	72812
402	73693	72596
403	73860	72398
404	74052	72223
405	74240	72045
406	74389	71830
407	74570	71646
408	74763	71473
409	74894	71241
410	75099	71079
411	75455	71059
412	75677	70913
413	75943	70807
414	76155	70649
415	76369	70495
416	76654	70404
417	77095	70455
418	77526	70495
419	77764	70358
420	77992	70211
421	78287	70124
422	78496	69960
423	78723	69811
424	78960	69671
425	79217	69547
426	79460	69412
427	79702	69273
428	79964	69153
429	80202	69011
430	80423	68854
431	80632	68687
432	80830	68510
433	81064	68363
434	81275	68196
435	81499	68040
436	81805	67952
437	82131	67880
438	82351	67719
439	82558	67547
440	82762	67373
441	82993	67221
442	83214	67059
443	83395	66866
444	83564	66664
445	83746	66471
446	83920	66272
447	84077	66060
448	84284	65888
449	84456	65688
450	84627	65487
451	84828	65310
452	85001	65111
453	85220	64947
454	85394	64749
455	85570	64553
456	85752	64360
457	85937	64171
458	86134	63990
459	86382	63847
460	86575	63663
461	86792	63497
462	86986	63314
463	87164	63118
464	87355	62933
465	87550	62751
466	87714	62545
467	87859	62327
468	88020	62121
469	88242	61957
