iter	RMSE
0	0.8929983992
1	0.8365089264
2	0.7858672579
3	0.7361862064
4	0.6895381792
5	0.6470860875
6	0.6075648959
7	0.5713293977
8	0.5360937828
9	0.502008838
10	0.4713238891
11	0.4415136397
12	0.4155869629
13	0.3902763655
14	0.3668312375
15	0.345035468
16	0.3247679641
17	0.305816183
18	0.2874084413
19	0.2709462697
20	0.2554663696
21	0.2412824674
22	0.2278258732
23	0.2154599737
24	0.2044476321
25	0.1934361031
26	0.1833128591
27	0.1738449156
28	0.1655679937
29	0.1570615656
30	0.1501208558
31	0.1431871286
32	0.1366372615
33	0.1306483976
34	0.1252528018
35	0.1199061496
36	0.1153389677
37	0.1110728965
38	0.1071923167
39	0.1029613847
40	0.0997968513
41	0.09669595371
42	0.0938164611
43	0.09026326527
44	0.08735895785
45	0.08491104633
46	0.08210438589
47	0.0792090309
48	0.07614950696
49	0.07410144767
50	0.07198648222
51	0.07023241387
52	0.06891033923
53	0.0667788461
54	0.06579318174
55	0.06395584253
56	0.06299760945
57	0.06159621044
58	0.05990777199
59	0.05874000545
60	0.05801144275
61	0.05707816688
62	0.05649599896
63	0.05517497688
64	0.0546332604
65	0.05369321595
66	0.0531869524
67	0.05155018714
68	0.05050857605
69	0.04987656589
70	0.04869095512
71	0.04798059153
72	0.0472610488
73	0.04619682617
74	0.04587837171
75	0.04551364212
76	0.04478803719
77	0.04396612479
78	0.04302942881
79	0.04263422043
80	0.04202183575
81	0.04147614173
82	0.04113683329
83	0.04020645905
84	0.03948044239
85	0.03919713868
86	0.03908567603
87	0.03852420181
88	0.03830076229
89	0.03796548248
90	0.03733150335
91	0.03684818297
92	0.03662760771
93	0.03646539379
94	0.03603721182
95	0.03579533294
96	0.03560508768
97	0.03542936022
98	0.03526527719
99	0.03477155631
100	0.03457691053
101	0.03417615069
102	0.03389132539
103	0.03333157784
104	0.03316032986
105	0.03302639604
106	0.03291526395
107	0.03281783272
108	0.03231707082
109	0.03199522417
110	0.03178472569
111	0.03164715314
112	0.03135114333
113	0.03118654619
114	0.03107900416
115	0.0309466799
116	0.03062991551
117	0.03049136046
118	0.03021002596
119	0.03005327205
120	0.02995048075
121	0.02966984332
122	0.02952003399
123	0.02930609009
124	0.02875597154
125	0.02828419812
126	0.02815083938
127	0.02804104466
128	0.02783743991
129	0.02763707137
130	0.02751058987
131	0.02695920469
132	0.02683387476
133	0.02639939937
134	0.02622137817
135	0.02574230283
136	0.02529728566
137	0.02518168135
138	0.02504391963
139	0.02463769089
140	0.02437422598
141	0.02425658805
142	0.02410095031
143	0.02398173443
144	0.02366506266
145	0.02336609391
146	0.02326183027
147	0.02316604053
148	0.02283044879
149	0.0225425851
150	0.02238674462
151	0.02227825846
152	0.02213998157
153	0.02203922287
154	0.02193947648
155	0.02186693879
156	0.02163497897
157	0.02136467071
158	0.02125330922
159	0.02117226115
160	0.02105817799
161	0.02090677577
162	0.02080760599
163	0.02066624727
164	0.02051893118
165	0.02034156565
166	0.02022206243
167	0.02011686758
168	0.02001945213
169	0.01993185446
170	0.01985923818
171	0.01975512044
172	0.0195102867
173	0.01932056616
174	0.01916201873
175	0.01904577105
176	0.01894889362
177	0.01888396797
178	0.01878563068
179	0.0187164886
180	0.01855336743
181	0.01850192448
182	0.01841901188
183	0.01830586469
184	0.01818042093
185	0.01804866241
186	0.01796534834
187	0.01788855044
188	0.01777824347
189	0.0177109796
190	0.01757032134
191	0.01747618059
192	0.01739690817
193	0.01735301415
194	0.01722539905
195	0.01712688999
196	0.01706618374
197	0.01697874151
198	0.0169173549
199	0.01686639785
200	0.01681359037
201	0.01669697307
202	0.01660252253
203	0.01650763517
204	0.0164227973
205	0.01635820057
206	0.01630159718
207	0.01623677522
208	0.01618564157
209	0.01610450521
210	0.01604149568
211	0.01597530243
212	0.01589562913
213	0.01579752797
214	0.01575365224
215	0.01569407325
216	0.01563673527
217	0.01554230502
218	0.01546672086
219	0.01540969742
220	0.01535242765
221	0.0153185231
222	0.01526799008
223	0.0152137079
224	0.01511727724
225	0.01504589126
226	0.01499993237
227	0.01495674203
228	0.01490518476
229	0.01485542677
230	0.01481523819
231	0.01477600316
232	0.01470599919
233	0.01464907206
234	0.01457890122
235	0.01454098179
236	0.01450538818
237	0.01444591008
238	0.01438847258
239	0.01432810239
240	0.01428461133
241	0.01423441928
242	0.01416471388
243	0.01409935235
244	0.0140854178
245	0.01400387342
246	0.01394011331
247	0.01385967209
248	0.01380411824
249	0.01375227278
250	0.0136730501
251	0.01360192429
252	0.01355672712
253	0.01348400774
254	0.01343786949
255	0.01339605307
256	0.01335254308
257	0.01330565019
258	0.01328460631
259	0.01322026385
260	0.01318780222
261	0.0131249111
262	0.0130815458
263	0.01303077899
264	0.01299851204
265	0.01296552918
266	0.0129378996
