institute_short,program_name,category,quota,pool,round_no,closing_rank_avg,closing_rank_std,latest_recorded_year
NIT-Tiruchirappalli,Chemical Engineering,SC,OS,Gender-Neutral,7,1795.0,0.0,2019
NIT-Agartala,Computational Mathematics,GEN-EWS,HS,Gender-Neutral,1,46823.0,0.0,2021
NIT-Nagaland,Mechanical Engineering,GEN-EWS,OS,Gender-Neutral,1,6357.0,0.0,2021
NIT-Arunachal-Pradesh,Computer Science and Engineering,GEN-EWS,HS,Female-Only,1,51607.0,0.0,2021
IIT-Delhi,Computer Science and Engineering,ST,AI,Female-Only,1,125.5,75.72378034072855,2021
IIT-Tirupati,Computer Science and Engineering,ST,AI,Female-Only,1,748.0,0.0,2021
NIT-Hamirpur,Materials Science and Engineering,ST,HS,Gender-Neutral,7,4538.0,0.0,2019
NIT-Raipur,Mechanical Engineering,ST,OS,Gender-Neutral,7,1665.0,0.0,2019
NIT-Srinagar,Chemical Engineering,ST,HS,Female-Only,7,8819.0,0.0,2019
NIT-Jalandhar,Bio Technology,SC,OS,Gender-Neutral,1,6794.0,0.0,2021
NIT-Jalandhar,Civil Engineering,SC,HS,Gender-Neutral,1,8445.0,0.0,2021
NIT-Goa,Electrical and Electronics Engineering,SC,OS,Gender-Neutral,1,3830.0,0.0,2021
NIT-Raipur,Mechanical Engineering,SC,OS,Female-Only,1,6017.0,0.0,2021
NIT-Arunachal-Pradesh,Electronics and Communication Engineering,SC,OS,Female-Only,1,7308.0,0.0,2021
IIT-Hyderabad,Electrical Engineering,OBC-NCL,AI,Gender-Neutral,7,881.0,33.8673884437522,2019
IIT-(ISM) Dhanbad,Chemical Engineering,OBC-NCL,AI,Gender-Neutral,7,3070.6666666666665,168.0545546343012,2019
IIT-(ISM) Dhanbad,Mining Machinery Engineering,OBC-NCL,AI,Gender-Neutral,7,3829.0,459.0032679622227,2019
IIT-Bhubaneswar,Computer Science and Engineering,OBC-NCL,AI,Gender-Neutral,7,1000.6666666666666,166.86002117543515,2019
NIT-Puducherry,Computer Science and Engineering,OBC-NCL,HS,Female-Only,7,56280.0,0.0,2019
NIT-Srinagar,Computer Science and Engineering,OBC-NCL,HS,Female-Only,7,19984.0,0.0,2019
IIT-Bombay,Environmental Science and Engineering,SC,AI,Female-Only,7,2411.5,259.50818869546293,2019
IIT-Bombay,Mechanical Engineering and M.Tech. in Computer IntegratedManufacturing,SC,AI,Female-Only,7,1116.0,0.0,2019
IIT-Kharagpur,Electrical Engineering,SC,AI,Female-Only,7,421.5,177.48380207782344,2019
IIT-Ropar,Civil Engineering,SC,AI,Gender-Neutral,7,1494.0,254.3127995205904,2019
NIT-Jalandhar,Industrial and Production Engineering,SC,OS,Female-Only,7,8728.0,0.0,2019
NIT-Jaipur,Electronics and Communication Engineering,SC,OS,Female-Only,7,3653.0,0.0,2019
NIT-Nagaland,Electronics and Instrumentation Engineering,SC,OS,Gender-Neutral,7,7800.0,0.0,2019
NIT-Raipur,Electronics and Communication Engineering,SC,HS,Gender-Neutral,7,6388.0,0.0,2019
NIT-Rourkela,Bio Technology,SC,OS,Female-Only,7,3885.0,0.0,2019
NIT-Tiruchirappalli,Computer Science and Engineering,SC,OS,Gender-Neutral,7,138.0,0.0,2019
NIT-Raipur,Electrical Engineering,GEN-EWS,HS,Female-Only,1,12310.0,0.0,2021
NIT-Raipur,Mechanical Engineering,GEN-EWS,OS,Gender-Neutral,1,4019.0,0.0,2021
NIT-Jaipur,Metallurgical and Materials Engineering,ST,OS,Gender-Neutral,1,2729.0,0.0,2021
NIT-Agartala,Electronics and Instrumentation Engineering,ST,OS,Gender-Neutral,1,2630.0,0.0,2021
NIT-Hamirpur,Architecture,ST,HS,Female-Only,1,280.0,0.0,2021
NIT-Hamirpur,Electronics and Communication Engineering,ST,HS,Female-Only,1,2745.0,0.0,2021
NIT-Hamirpur,Electronics and Communication Engineering,ST,OS,Female-Only,1,1605.0,0.0,2021
NIT-Hamirpur,Mathematics and Computing,ST,HS,Female-Only,1,5990.0,0.0,2021
NIT-Rourkela,Ceramic Engineering and M.Tech Industrial Ceramic,ST,HS,Gender-Neutral,1,3216.0,0.0,2021
NIT-Rourkela,Life Science,ST,HS,Gender-Neutral,1,6528.0,0.0,2021
IIT-Delhi,Engineering Physics,ST,AI,Female-Only,7,948.0,214.96046148071045,2019
NIT-Hamirpur,Architecture,ST,HS,Gender-Neutral,7,1240.0,0.0,2019
NIT-Patna,Computer Science and Engineering,ST,HS,Gender-Neutral,7,1342.0,0.0,2019
NIT-Patna,Architecture,ST,HS,Gender-Neutral,7,707.0,0.0,2019
NIT-Srinagar,Metallurgical and Materials Engineering,ST,HS,Gender-Neutral,7,5893.0,0.0,2019
NIT-Jaipur,Chemical Engineering,SC,OS,Female-Only,1,6383.0,0.0,2021
NIT-Karnataka-Surathkal,Civil Engineering,SC,OS,Gender-Neutral,1,2626.0,0.0,2021
NIT-Srinagar,Computer Science and Engineering,SC,JK,Gender-Neutral,1,7287.0,0.0,2021
IIT-Madras,Engineering Design,OBC-NCL,AI,Female-Only,7,3707.5,750.240294838927,2019
IIT-Roorkee,Engineering Physics,OBC-NCL,AI,Female-Only,7,4603.5,951.0586206959064,2019
IIT-Hyderabad,Computer Science and Engineering,OBC-NCL,AI,Gender-Neutral,7,308.6666666666667,20.5993527406405,2019
IIT-Bhubaneswar,Electrical Engineering and M.Tech Power Electronics and Drives,OBC-NCL,AI,Female-Only,7,3637.0,1046.5180361560904,2019
NIT-Raipur,Metallurgical and Materials Engineering,OBC-NCL,HS,Female-Only,7,44475.0,0.0,2019
NIT-Rourkela,Electronics and Instrumentation Engineering,OBC-NCL,HS,Female-Only,7,26809.0,0.0,2019
NIT-Silchar,Electronics and Instrumentation Engineering,OBC-NCL,OS,Female-Only,7,16123.0,0.0,2019
IIT-Bombay,Aerospace Engineering,SC,AI,Gender-Neutral,7,493.6666666666667,69.51498639382255,2019
IIT-Roorkee,Chemistry,SC,AI,Gender-Neutral,7,2318.0,293.71414674816054,2019
IIT-Hyderabad,Mathematics and Computing,SC,AI,Gender-Neutral,7,460.0,70.50531894828929,2019
NIT-Jalandhar,Information Technology,SC,OS,Gender-Neutral,7,2524.0,0.0,2019
NIT-Jaipur,Chemical Engineering,SC,OS,Gender-Neutral,7,5184.0,0.0,2019
NIT-Allahabad,Bio Technology,SC,HS,Female-Only,7,6655.0,0.0,2019
NIT-Patna,Mechanical Engineering,SC,OS,Gender-Neutral,7,4810.0,0.0,2019
NIT-Rourkela,Architecture,SC,HS,Gender-Neutral,7,876.0,0.0,2019
NIT-Agartala,Computer Science and Engineering,GEN-EWS,HS,Gender-Neutral,1,16667.0,0.0,2021
NIT-Hamirpur,Engineering Physics,GEN-EWS,HS,Female-Only,1,33641.0,0.0,2021
NIT-Raipur,Electronics and Communication Engineering,GEN-EWS,OS,Female-Only,1,3404.0,0.0,2021
NIT-Agartala,Electronics and Instrumentation Engineering,ST,OS,Female-Only,1,3682.0,0.0,2021
NIT-Kurukshetra,Electrical Engineering,ST,HS,Gender-Neutral,1,23356.0,0.0,2021
NIT-Silchar,Electrical Engineering,ST,OS,Gender-Neutral,1,1689.0,0.0,2021
IIT-Guwahati,Civil Engineering,ST,AI,Female-Only,1,850.0,0.0,2021
IIT-Kharagpur,Electrical Engineering,ST,AI,Gender-Neutral,2,268.0,0.0,2021
IIT-Roorkee,Engineering Physics,ST,AI,Gender-Neutral,7,747.0,57.61076288333631,2019
IIT-Hyderabad,Computer Science and Engineering,ST,AI,Gender-Neutral,7,125.0,36.75595189897821,2019
NIT-Allahabad,Chemical Engineering,ST,HS,Female-Only,7,5096.0,0.0,2019
NIT-Agartala,Chemical Engineering,ST,OS,Female-Only,7,4006.0,0.0,2019
NIT-Calicut,Mechanical Engineering,ST,HS,Gender-Neutral,7,15912.0,0.0,2019
NIT-Patna,Electrical Engineering,ST,OS,Gender-Neutral,7,1867.0,0.0,2019
NIT-Rourkela,Mechanical Engineering,ST,OS,Gender-Neutral,7,596.0,0.0,2019
NIT-Jalandhar,Electronics and Communication Engineering,SC,HS,Gender-Neutral,1,5316.0,0.0,2021
NIT-Raipur,Computer Science and Engineering,SC,OS,Female-Only,1,2756.0,0.0,2021
NIT-Rourkela,Industrial Design,SC,HS,Gender-Neutral,1,6456.0,0.0,2021
IIT-Bombay,Chemistry,OBC-NCL,AI,Female-Only,7,6393.0,487.9036790187178,2019
IIT-Kharagpur,Chemistry,OBC-NCL,AI,Female-Only,7,6999.0,340.82546853191593,2019
IIT-Guwahati,Computer Science and Engineering,OBC-NCL,AI,Female-Only,7,781.5,47.37615433949868,2019
IIT-Goa,Computer Science and Engineering,OBC-NCL,AI,Gender-Neutral,7,1809.0,178.76520914316635,2019
IIT-Palakkad,Civil Engineering,OBC-NCL,AI,Gender-Neutral,7,3481.6666666666665,458.04402990687845,2019
NIT-Karnataka-Surathkal,Civil Engineering,OBC-NCL,OS,Female-Only,7,7771.0,0.0,2019
IIT-Indore,Electrical Engineering,SC,AI,Gender-Neutral,7,901.0,32.07802986469088,2019
IIT-Tirupati,Civil Engineering,SC,AI,Gender-Neutral,7,1791.6666666666667,223.58294508600903,2019
NIT-Jaipur,Electrical Engineering,SC,HS,Female-Only,7,3717.0,0.0,2019
NIT-Jaipur,Metallurgical and Materials Engineering,SC,HS,Female-Only,7,8156.0,0.0,2019
NIT-Karnataka-Surathkal,Information Technology,SC,OS,Gender-Neutral,7,686.0,0.0,2019
NIT-Patna,Civil Engineering,SC,HS,Female-Only,7,9256.0,0.0,2019
NIT-Patna,Civil Engineering,SC,OS,Female-Only,7,6574.0,0.0,2019
NIT-Raipur,Chemical Engineering,SC,HS,Gender-Neutral,7,11176.0,0.0,2019
NIT-Raipur,Electrical Engineering,GEN-EWS,OS,Gender-Neutral,1,3134.0,0.0,2021
NIT-Allahabad,Civil Engineering,ST,OS,Female-Only,1,1390.0,0.0,2021
NIT-Goa,Electrical and Electronics Engineering,ST,GO,Gender-Neutral,1,1793.0,0.0,2021
NIT-Meghalaya,Electrical and Electronics Engineering,ST,OS,Female-Only,1,2382.0,0.0,2021
IIT-Bombay,Civil Engineering,ST,AI,Gender-Neutral,1,149.0,0.0,2021
IIT-Bhubaneswar,Civil Engineering,ST,AI,Female-Only,1,909.0,0.0,2021
IIT-Patna,Civil Engineering,ST,AI,Gender-Neutral,1,739.0,0.0,2021
IIT-Kanpur,Aerospace Engineering,ST,AI,Female-Only,2,1023.0,0.0,2021
IIT-Gandhinagar,Civil Engineering,ST,AI,Gender-Neutral,7,373.3333333333333,30.038863715748857,2019
NIT-Agartala,Civil Engineering,ST,HS,Female-Only,7,11570.0,0.0,2019
NIT-Kurukshetra,Electrical Engineering,ST,OS,Gender-Neutral,7,1202.0,0.0,2019
NIT-Mizoram,Electrical and Electronics Engineering,ST,OS,Gender-Neutral,7,2239.0,0.0,2019
NIT-Allahabad,Electrical Engineering,SC,OS,Gender-Neutral,1,2652.0,0.0,2021
NIT-Raipur,Electronics and Communication Engineering,SC,OS,Female-Only,1,4217.0,0.0,2021
NIT-Silchar,Computer Science and Engineering,SC,HS,Gender-Neutral,1,3024.0,0.0,2021
NIT-Jalandhar,Industrial and Production Engineering,OBC-NCL,OS,Gender-Neutral,7,12661.0,0.0,2019
NIT-Rourkela,Mechanical Engineering,OBC-NCL,OS,Gender-Neutral,7,3591.0,0.0,2019
IIT-Madras,Aerospace Engineering,SC,AI,Gender-Neutral,7,847.3333333333334,66.58428242961448,2019
IIT-(ISM) Dhanbad,Mathematics and Computing,SC,AI,Female-Only,7,2255.5,119.50104602052653,2019
IIT-Gandhinagar,Mechanical Engineering,SC,AI,Gender-Neutral,7,1050.0,294.1836161311503,2019
NIT-Bhopal,Architecture,SC,HS,Female-Only,7,1735.0,0.0,2019
NIT-Karnataka-Surathkal,Electronics and Communication Engineering,SC,HS,Female-Only,7,3693.0,0.0,2019
NIT-Agartala,Mechanical Engineering,GEN-EWS,OS,Female-Only,1,7286.0,0.0,2021
NIT-Rourkela,Metallurgical and Materials Engineering,GEN-EWS,HS,Gender-Neutral,1,8287.5,1299.8378570211955,2021
NIT-Bhopal,Mechanical Engineering,ST,OS,Gender-Neutral,1,1834.0,0.0,2021
NIT-Agartala,Civil Engineering,ST,HS,Gender-Neutral,1,6582.0,0.0,2021
NIT-Nagaland,Electronics and Communication Engineering,ST,HS,Gender-Neutral,1,16361.0,0.0,2021
NIT-Raipur,Information Technology,ST,HS,Female-Only,1,2356.0,0.0,2021
NIT-Rourkela,Mining Engineering,ST,HS,Gender-Neutral,1,2508.0,0.0,2021
IIT-Roorkee,Mathematics & Computing,ST,AI,Gender-Neutral,2,337.0,0.0,2021
