institute_short,program_name,category,quota,pool,round_no,closing_rank_avg,closing_rank_std,latest_recorded_year
IIT-Hyderabad,Mathematics and Computing,OBC-NCL,AI,Gender-Neutral,1,480.0,0.0,2021
IIT-Bhubaneswar,Computer Science and Engineering,OBC-NCL,AI,Female-Only,1,2185.5,68.41251879058925,2021
IIT-Bhilai,Mechanical Engineering,OBC-NCL,AI,Gender-Neutral,1,4250.0,0.0,2021
IIT-Kharagpur,Chemistry,OBC-NCL,AI,Gender-Neutral,2,4861.0,0.0,2021
IIT-Hyderabad,Biotechnology and Bioinformatics,GEN,AI,Gender-Neutral,1,6371.0,0.0,2021
IIT-Bombay,Chemical Engineering,GEN,AI,Gender-Neutral,2,2139.0,0.0,2021
IIT-Roorkee,Computer Science and Engineering,GEN,AI,Female-Only,2,1205.0,0.0,2021
NIT-Jalandhar,Computer Science and Engineering,OBC-NCL,OS,Female-Only,1,5049.0,0.0,2021
NIT-Durgapur,Electrical Engineering,OBC-NCL,HS,Female-Only,1,23429.0,0.0,2021
NIT-Raipur,Electronics and Communication Engineering,OBC-NCL,OS,Gender-Neutral,1,5091.0,0.0,2021
NIT-Rourkela,Electronics and Instrumentation Engineering,OBC-NCL,OS,Gender-Neutral,1,4486.0,0.0,2021
NIT-Calicut,Bio Technology,GEN,HS,Gender-Neutral,1,33103.0,0.0,2021
NIT-Durgapur,Civil Engineering,GEN,OS,Female-Only,1,35607.0,0.0,2021
NIT-Goa,Computer Science and Engineering,GEN,GO,Female-Only,1,17260.0,0.0,2021
NIT-Karnataka-Surathkal,Information Technology,GEN,HS,Female-Only,1,5366.0,0.0,2021
NIT-Kurukshetra,Information Technology,GEN,OS,Female-Only,1,11221.0,0.0,2021
NIT-Rourkela,Bio Technology,GEN,OS,Female-Only,1,26976.0,0.0,2021
NIT-Silchar,Electronics and Instrumentation Engineering,GEN,OS,Gender-Neutral,1,22175.0,0.0,2021
IIT-Madras,Metallurgical and Materials Engineering,SC,AI,Gender-Neutral,1,1473.0,0.0,2021
IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Thermal Science & Engineering,SC,AI,Gender-Neutral,1,2047.0,0.0,2021
IIT-Kharagpur,Aerospace Engineering,SC,AI,Gender-Neutral,2,1097.5,5.744562646538007,2021
IIT-Kharagpur,Electronics and Electrical Communication Engineering,SC,AI,Gender-Neutral,2,246.0,0.0,2021
IIT-Kharagpur,Agricultural and Food Engineering,GEN,AI,Gender-Neutral,7,7291.666666666667,703.5156951577792,2019
IIT-Bhubaneswar,Electronics and Communication Engineering,GEN,AI,Gender-Neutral,7,3760.0,300.50124791754195,2019
NIT-Bhopal,Mechanical Engineering,GEN,HS,Female-Only,7,38109.0,0.0,2019
NIT-Delhi,Computer Science and Engineering,GEN,OS,Gender-Neutral,7,7286.0,0.0,2019
NIT-Mizoram,Mechanical Engineering,GEN,OS,Female-Only,7,52408.0,0.0,2019
NIT-Srinagar,Information Technology,GEN,OS,Female-Only,7,42246.0,0.0,2019
IIT-Roorkee,Chemical Engineering,GEN-EWS,AI,Gender-Neutral,1,778.0,0.0,2021
IIT-Hyderabad,Engineering Science,GEN-EWS,AI,Female-Only,1,1511.0,0.0,2021
IIT-Bhubaneswar,Civil Engineering and M. Tech. in Structural Engineering,GEN-EWS,AI,Gender-Neutral,1,1691.0,0.0,2021
IIT-Bhubaneswar,Metallurgical and Materials Engineering,GEN-EWS,AI,Female-Only,1,3311.5,349.37385550308557,2021
IIT-(BHU) Varanasi,Metallurgical Engineering,GEN-EWS,AI,Female-Only,1,3645.5,256.4163872227429,2021
IIT-Bombay,Mechanical Engineering,GEN-EWS,AI,Female-Only,2,1073.0,0.0,2021
IIT-Delhi,Electrical Engineering,GEN-EWS,AI,Gender-Neutral,2,148.0,0.0,2021
IIT-Madras,Chemical Engineering,GEN-EWS,AI,Female-Only,2,2104.0,0.0,2021
IIT-Kharagpur,Manufacturing Science and Engineering,OBC-NCL,AI,Gender-Neutral,1,2683.0,0.0,2021
IIT-Roorkee,Chemical Engineering,OBC-NCL,AI,Female-Only,1,5411.0,0.0,2021
IIT-Bhubaneswar,Metallurgical and Materials Engineering,OBC-NCL,AI,Gender-Neutral,1,4724.5,63.190189111918386,2021
IIT-Delhi,Biotechnology and Biochemical Engineering,OBC-NCL,AI,Female-Only,2,6264.0,0.0,2021
IIT-Madras,Aerospace Engineering,OBC-NCL,AI,Gender-Neutral,2,1645.0,63.71242207978541,2021
IIT-Madras,Computer Science and Engineering,GEN,AI,Gender-Neutral,1,163.0,0.0,2021
IIT-Hyderabad,Engineering Physics,GEN,AI,Gender-Neutral,1,4930.0,0.0,2021
IIT-Jodhpur,Artificial Intelligence and Data Science,GEN,AI,Gender-Neutral,1,3510.0,0.0,2021
IIT-Dharwad,Computer Science and Engineering,GEN,AI,Gender-Neutral,1,4571.0,0.0,2021
IIT-Roorkee,Metallurgical and Materials Engineering,GEN,AI,Female-Only,2,13686.0,0.0,2021
NIT-Durgapur,Biotechnology,OBC-NCL,OS,Gender-Neutral,1,8955.0,0.0,2021
NIT-Karnataka-Surathkal,Mechanical Engineering,OBC-NCL,OS,Gender-Neutral,1,4190.0,0.0,2021
NIT-Nagaland,Mechanical Engineering,OBC-NCL,OS,Gender-Neutral,1,10875.0,0.0,2021
NIT-Rourkela,Metallurgical and Materials Engineering,OBC-NCL,OS,Female-Only,1,13498.0,0.0,2021
NIT-Bhopal,Architecture,GEN,OS,Gender-Neutral,1,813.0,0.0,2021
NIT-Meghalaya,Electronics and Communication Engineering,GEN,HS,Gender-Neutral,1,118077.0,0.0,2021
NIT-Jamshedpur,Electrical Engineering,GEN,HS,Gender-Neutral,1,22616.0,0.0,2021
NIT-Kurukshetra,Mechanical Engineering,GEN,OS,Gender-Neutral,1,19152.0,0.0,2021
IIT-Madras,Biological Engineering,GEN,AI,Gender-Neutral,7,6585.333333333333,383.8311260611017,2019
IIT-Hyderabad,Engineering Physics,GEN,AI,Female-Only,7,7937.0,166.87720036002523,2019
IIT-Patna,Civil Engineering,GEN,AI,Female-Only,7,14610.5,2864.489570586704,2019
NIT-Allahabad,Electrical Engineering,GEN,OS,Female-Only,7,15263.0,0.0,2019
NIT-Rourkela,Mining Engineering,GEN,HS,Female-Only,7,38824.0,0.0,2019
NIT-Silchar,Civil Engineering,GEN,HS,Gender-Neutral,7,82315.0,0.0,2019
IIT-Bhilai,Electrical Engineering,GEN-EWS,AI,Gender-Neutral,1,1216.0,0.0,2021
IIT-Delhi,Engineering Physics,GEN-EWS,AI,Gender-Neutral,2,586.0,0.0,2021
IIT-Delhi,Engineering Physics,OBC-NCL,AI,Gender-Neutral,1,1823.0,0.0,2021
IIT-Bhubaneswar,Mechanical Engineering and M. Tech. in Mechanical System Design,OBC-NCL,AI,Gender-Neutral,1,3583.0,0.0,2021
IIT-Delhi,Biotechnology and Biochemical Engineering,OBC-NCL,AI,Gender-Neutral,2,2622.0,0.0,2021
IIT-Kharagpur,Physics,OBC-NCL,AI,Gender-Neutral,2,3806.0,0.0,2021
IIT-Madras,Chemical Engineering,OBC-NCL,AI,Gender-Neutral,2,1995.0,0.0,2021
IIT-Roorkee,Engineering Physics,OBC-NCL,AI,Gender-Neutral,2,2335.0,0.0,2021
IIT-(ISM) Dhanbad,Applied Geophysics,GEN,AI,Female-Only,1,19520.0,0.0,2021
IIT-Kharagpur,Mining Engineering,GEN,AI,Female-Only,2,17474.0,1957.3291635658666,2021
IIT-Kanpur,Chemical Engineering,GEN,AI,Gender-Neutral,2,3802.0,0.0,2021
IIT-Kanpur,Chemical Engineering,GEN,AI,Female-Only,2,7555.0,0.0,2021
IIT-Madras,Mechanical Engineering,GEN,AI,Female-Only,2,6257.0,0.0,2021
NIT-Rourkela,Electronics and Communication Engineering,OBC-NCL,OS,Female-Only,1,3502.0,0.0,2021
NIT-Bhopal,Architecture,GEN,HS,Female-Only,1,1567.0,0.0,2021
NIT-Bhopal,Materials Science and Metallurgical Engineering,GEN,HS,Gender-Neutral,1,35283.0,0.0,2021
NIT-Durgapur,Biotechnology,GEN,HS,Gender-Neutral,1,28564.0,0.0,2021
NIT-Jamshedpur,Computer Science and Engineering,GEN,OS,Gender-Neutral,1,7686.0,0.0,2021
NIT-Rourkela,Civil Engineering,GEN,HS,Gender-Neutral,1,26114.0,0.0,2021
IIT-Bombay,Chemical Engineering,SC,AI,Female-Only,1,1310.0,0.0,2021
IIT-Kanpur,Physics,SC,AI,Female-Only,2,2577.0,0.0,2021
IIT-Delhi,Electrical Engineering - Power and Automation,GEN,AI,Female-Only,7,1993.0,415.77878733768995,2019
IIT-Kanpur,Chemical Engineering,GEN,AI,Gender-Neutral,7,3137.3333333333335,310.87028377336634,2019
IIT-Madras,Aerospace Engineering,GEN,AI,Female-Only,7,6381.5,1294.9760615548073,2019
IIT-Bhubaneswar,Electrical Engineering,GEN,AI,Gender-Neutral,7,4812.0,282.9293197955984,2019
NIT-Jalandhar,Chemical Engineering,GEN,OS,Gender-Neutral,7,31792.0,0.0,2019
NIT-Calicut,Electrical and Electronics Engineering,GEN,OS,Female-Only,7,15466.0,0.0,2019
NIT-Rourkela,Physics,GEN,OS,Gender-Neutral,7,16651.0,0.0,2019
NIT-Srinagar,Electrical Engineering,GEN,HS,Gender-Neutral,7,81354.0,0.0,2019
IIT-Bombay,Mechanical Engineering,GEN-EWS,AI,Female-Only,1,1073.0,0.0,2021
IIT-Kharagpur,Chemical Engineering,GEN-EWS,AI,Female-Only,1,2276.5,127.94707712743791,2021
IIT-Patna,Chemical Engineering,GEN-EWS,AI,Gender-Neutral,1,1540.0,0.0,2021
IIT-Roorkee,Computer Science and Engineering,GEN-EWS,AI,Female-Only,2,278.0,0.0,2021
IIT-Guwahati,Civil Engineering,OBC-NCL,AI,Female-Only,1,6394.0,0.0,2021
IIT-Mandi,Computer Science and Engineering,OBC-NCL,AI,Gender-Neutral,1,1220.0,0.0,2021
IIT-Patna,Civil Engineering,OBC-NCL,AI,Gender-Neutral,1,4054.0,0.0,2021
IIT-Ropar,Electrical Engineering,OBC-NCL,AI,Gender-Neutral,1,2190.0,0.0,2021
IIT-Jodhpur,Computer Science and Engineering,GEN,AI,Female-Only,1,6773.0,0.0,2021
IIT-(BHU) Varanasi,Bioengineering with M.Tech in Biomedical Technology,GEN,AI,Gender-Neutral,1,11006.0,0.0,2021
NIT-Jalandhar,Civil Engineering,OBC-NCL,OS,Gender-Neutral,1,9582.0,0.0,2021
NIT-Bhopal,Electrical Engineering,OBC-NCL,OS,Gender-Neutral,1,5793.0,0.0,2021
NIT-Srinagar,Civil Engineering,OBC-NCL,OS,Female-Only,1,19506.0,0.0,2021
NIT-Allahabad,Production and Industrial Engineering,GEN,OS,Gender-Neutral,1,25990.0,0.0,2021
NIT-Goa,Computer Science and Engineering,GEN,OS,Female-Only,1,13481.0,0.0,2021
NIT-Patna,Electrical Engineering,GEN,HS,Female-Only,1,34027.0,0.0,2021
NIT-Arunachal-Pradesh,Electronics and Communication Engineering,GEN,HS,Female-Only,1,512001.0,0.0,2021
IIT-Delhi,Computer Science and Engineering,SC,AI,Female-Only,2,261.0,79.37941111579822,2021
IIT-Kharagpur,Chemistry,GEN,AI,Gender-Neutral,7,9788.666666666666,1289.984625231376,2019
IIT-Roorkee,Mechanical Engineering,GEN,AI,Female-Only,7,6092.0,739.6336931211287,2019
NIT-Agartala,Electronics and Communication Engineering,GEN,OS,Female-Only,7,35593.0,0.0,2019
NIT-Goa,Electronics and Communication Engineering,GEN,HS,Gender-Neutral,7,53029.0,0.0,2019
NIT-Manipur,Civil Engineering,GEN,OS,Female-Only,7,48892.0,0.0,2019
NIT-Mizoram,Electrical and Electronics Engineering,GEN,HS,Female-Only,7,1029730.0,0.0,2019
IIT-Bombay,Aerospace Engineering,GEN-EWS,AI,Gender-Neutral,1,470.0,0.0,2021
IIT-Roorkee,Production and Industrial Engineering,GEN-EWS,AI,Female-Only,1,2780.0,0.0,2021
IIT-Indore,Mechanical Engineering,GEN-EWS,AI,Gender-Neutral,1,964.0,0.0,2021
IIT-Bombay,BS in Mathematics,GEN-EWS,AI,Gender-Neutral,2,451.0,0.0,2021
IIT-Indore,Mechanical Engineering,OBC-NCL,AI,Gender-Neutral,1,2557.0,0.0,2021
IIT-Kharagpur,Industrial and Systems Engineering,OBC-NCL,AI,Gender-Neutral,2,2180.0,0.0,2021
IIT-Roorkee,Economics,OBC-NCL,AI,Female-Only,2,6151.0,0.0,2021
IIT-Kanpur,Chemical Engineering,GEN,AI,Female-Only,1,7461.0,0.0,2021
IIT-Patna,Metallurgical and Materials Engineering,GEN,AI,Gender-Neutral,1,11963.0,0.0,2021
NIT-Bhopal,Electrical Engineering,OBC-NCL,HS,Gender-Neutral,1,6929.0,0.0,2021
NIT-Calicut,Architecture,OBC-NCL,OS,Female-Only,1,230.0,0.0,2021
NIT-Calicut,Civil Engineering,OBC-NCL,OS,Gender-Neutral,1,8012.0,0.0,2021
NIT-Calicut,Materials Science and Engineering,OBC-NCL,HS,Gender-Neutral,1,12919.0,0.0,2021
NIT-Hamirpur,Architecture,OBC-NCL,HS,Gender-Neutral,1,16715.0,0.0,2021
NIT-Jamshedpur,Civil Engineering,OBC-NCL,HS,Female-Only,1,17762.0,0.0,2021
NIT-Rourkela,Electronics and Instrumentation Engineering,OBC-NCL,HS,Female-Only,1,13347.0,0.0,2021
NIT-Agartala,Computer Science and Engineering,GEN,HS,Gender-Neutral,1,52664.0,0.0,2021
IIT-(ISM) Dhanbad,Electrical Engineering,SC,AI,Gender-Neutral,1,1462.0,0.0,2021
IIT-Kharagpur,Aerospace Engineering,SC,AI,Female-Only,2,1935.5,34.98960884709526,2021
IIT-Madras,Physics,SC,AI,Gender-Neutral,2,586.0,0.0,2021
IIT-Kanpur,Computer Science and Engineering,GEN,AI,Gender-Neutral,7,212.0,5.5677643628300215,2019
IIT-Goa,Electrical Engineering,GEN,AI,Female-Only,7,10536.5,1074.0952006223656,2019
NIT-Jalandhar,Chemical Engineering,GEN,HS,Gender-Neutral,7,53704.0,0.0,2019
NIT-Bhopal,Electrical Engineering,GEN,OS,Gender-Neutral,7,15602.0,0.0,2019
NIT-Agartala,Chemical Engineering,GEN,OS,Female-Only,7,49977.0,0.0,2019
NIT-Meghalaya,Mechanical Engineering,GEN,OS,Female-Only,7,49493.0,0.0,2019
NIT-Patna,Physics,GEN,OS,Gender-Neutral,7,39652.0,0.0,2019
NIT-Raipur,Information Technology,GEN,OS,Gender-Neutral,7,13979.0,0.0,2019
NIT-Tiruchirappalli,Chemical Engineering,GEN,OS,Gender-Neutral,7,10643.0,0.0,2019
IIT-Delhi,Biotechnology and Biochemical Engineering,GEN-EWS,AI,Gender-Neutral,1,962.0,0.0,2021
IIT-Guwahati,Electronics and Communication Engineering,GEN-EWS,AI,Gender-Neutral,1,275.0,0.0,2021
IIT-Bhilai,Electrical Engineering,GEN-EWS,AI,Female-Only,1,2653.0,0.0,2021
IIT-Roorkee,Engineering Physics,GEN-EWS,AI,Female-Only,2,2468.0,0.0,2021
IIT-Delhi,Mechanical Engineering,OBC-NCL,AI,Female-Only,1,3386.0,0.0,2021
IIT-Madras,Biological Sciences,OBC-NCL,AI,Female-Only,1,6830.0,0.0,2021
IIT-Jodhpur,Artificial Intelligence and Data Science,OBC-NCL,AI,Gender-Neutral,1,1515.0,0.0,2021
IIT-Kharagpur,Mining Safety Engineering,OBC-NCL,AI,Gender-Neutral,2,4482.0,0.0,2021
IIT-Roorkee,Architecture,GEN,AI,Gender-Neutral,1,14859.0,0.0,2021
IIT-Indore,Mechanical Engineering,GEN,AI,Gender-Neutral,1,6233.0,0.0,2021
IIT-(BHU) Varanasi,Computer Science and Engineering,GEN,AI,Gender-Neutral,1,919.0,86.69067266593753,2021
NIT-Jalandhar,Electrical Engineering,OBC-NCL,HS,Female-Only,1,30045.0,0.0,2021
NIT-Kurukshetra,Civil Engineering,OBC-NCL,HS,Female-Only,1,18414.0,0.0,2021
NIT-Kurukshetra,Electrical Engineering,OBC-NCL,HS,Female-Only,1,12582.0,0.0,2021
NIT-Kurukshetra,Electronics and Communication Engineering,OBC-NCL,HS,Gender-Neutral,1,5843.0,0.0,2021
NIT-Mizoram,Mechanical Engineering,OBC-NCL,OS,Gender-Neutral,1,12068.0,0.0,2021
NIT-Rourkela,Electronics and Communication Engineering,OBC-NCL,HS,Female-Only,1,12663.0,0.0,2021
NIT-Rourkela,Electronics and Communication Engineering,OBC-NCL,OS,Gender-Neutral,1,1880.0,0.0,2021
NIT-Jaipur,Chemical Engineering,GEN,HS,Gender-Neutral,1,22245.0,0.0,2021
NIT-Bhopal,Civil Engineering,GEN,HS,Gender-Neutral,1,30473.0,0.0,2021
NIT-Allahabad,Production and Industrial Engineering,GEN,HS,Female-Only,1,33741.0,0.0,2021
NIT-Agartala,Mathematics & Computing,GEN,HS,Gender-Neutral,1,126227.0,0.0,2021
NIT-Hamirpur,Electronics and Communication Engineering,GEN,OS,Gender-Neutral,1,15139.0,918.0855575103503,2021
NIT-Puducherry,Computer Science and Engineering,GEN,HS,Female-Only,1,109089.0,0.0,2021
NIT-Mizoram,Civil Engineering,GEN,OS,Gender-Neutral,1,43468.0,0.0,2021
NIT-Srinagar,Electrical Engineering,GEN,LA,Female-Only,1,350695.0,0.0,2021
IIT-Madras,Physics,SC,AI,Gender-Neutral,1,586.0,0.0,2021
IIT-Indore,Metallurgical Engineering and Materials Science,SC,AI,Gender-Neutral,1,2354.0,0.0,2021
IIT-Hyderabad,Mechanical Engineering,SC,AI,Female-Only,1,2147.0,0.0,2021
IIT-Bombay,Aerospace Engineering,GEN,AI,Female-Only,7,4183.5,518.3092706097393,2019
IIT-Bombay,Computer Science and Engineering,GEN,AI,Gender-Neutral,7,61.333333333333336,2.0816659994661326,2019
IIT-Bombay,Mechanical Engineering,GEN,AI,Gender-Neutral,7,861.6666666666666,131.0356185673702,2019
NIT-Calicut,Materials Science and Engineering,GEN,HS,Female-Only,7,32084.0,0.0,2019
NIT-Meghalaya,Electronics and Communication Engineering,GEN,OS,Gender-Neutral,7,27032.0,0.0,2019
NIT-Manipur,Electronics and Communication Engineering,GEN,HS,Female-Only,7,524344.0,0.0,2019
NIT-Rourkela,Electronics and Communication Engineering,GEN,OS,Gender-Neutral,7,5674.0,0.0,2019
NIT-Srinagar,Chemical Engineering,GEN,HS,Female-Only,7,167048.0,0.0,2019
IIT-Madras,Aerospace Engineering,GEN-EWS,AI,Female-Only,1,1378.0,0.0,2021
IIT-Roorkee,Chemical Engineering,GEN-EWS,AI,Female-Only,1,2184.0,0.0,2021
IIT-Jodhpur,Chemical Engineering,GEN-EWS,AI,Female-Only,1,3554.0,0.0,2021
IIT-Kanpur,Statistics and Data Science,GEN-EWS,AI,Gender-Neutral,2,249.0,0.0,2021
IIT-Madras,Electrical Engineering,GEN-EWS,AI,Gender-Neutral,2,221.0,0.0,2021
IIT-Kharagpur,Instrumentation Engineering,OBC-NCL,AI,Gender-Neutral,1,1276.0,0.0,2021
IIT-Kharagpur,Electrical Engineering,GEN,AI,Gender-Neutral,1,1614.0,0.0,2021
IIT-Ropar,Metallurgical and Materials Engineering,GEN,AI,Female-Only,1,18806.0,0.0,2021
NIT-Bhopal,Planning,OBC-NCL,HS,Gender-Neutral,1,1380.0,0.0,2021
NIT-Delhi,Electronics and Communication Engineering,OBC-NCL,OS,Female-Only,1,8266.0,0.0,2021
NIT-Durgapur,Chemical Engineering,OBC-NCL,HS,Gender-Neutral,1,19187.0,1861.2382974783213,2021
NIT-Arunachal-Pradesh,Electronics and Communication Engineering,OBC-NCL,HS,Gender-Neutral,1,204374.0,0.0,2021
NIT-Jalandhar,Mechanical Engineering,GEN,OS,Gender-Neutral,1,23606.0,0.0,2021
NIT-Jaipur,Electrical Engineering,GEN,HS,Gender-Neutral,1,12215.0,0.0,2021
NIT-Bhopal,Chemical Engineering,GEN,HS,Female-Only,1,36872.0,0.0,2021
NIT-Agartala,Chemical Engineering,GEN,OS,Female-Only,1,42127.0,0.0,2021
NIT-Delhi,Electronics and Communication Engineering,GEN,OS,Gender-Neutral,1,12777.0,0.0,2021
NIT-Goa,Mechanical Engineering,GEN,OS,Gender-Neutral,1,22606.0,0.0,2021
NIT-Raipur,Chemical Engineering,GEN,HS,Female-Only,1,58558.0,0.0,2021
NIT-Raipur,Mechanical Engineering,GEN,OS,Female-Only,1,35179.0,0.0,2021
NIT-Raipur,Mechanical Engineering,GEN,OS,Gender-Neutral,1,25764.0,0.0,2021
NIT-Manipur,Mechanical Engineering,GEN,OS,Female-Only,1,46047.0,0.0,2021
NIT-Rourkela,Physics,GEN,OS,Gender-Neutral,1,13940.0,0.0,2021
IIT-Bhilai,Mechanical Engineering,SC,AI,Gender-Neutral,1,2247.0,0.0,2021
IIT-Guwahati,Mechanical Engineering,GEN,AI,Gender-Neutral,7,3094.0,279.88747739046846,2019
NIT-Calicut,Engineering Physics,GEN,OS,Gender-Neutral,7,16940.0,0.0,2019
NIT-Raipur,Civil Engineering,GEN,OS,Gender-Neutral,7,31500.0,0.0,2019
NIT-Srinagar,Chemical Engineering,GEN,HS,Gender-Neutral,7,136679.0,0.0,2019
IIT-Mandi,Computer Science and Engineering,GEN-EWS,AI,Gender-Neutral,1,419.0,0.0,2021
IIT-Dharwad,Engineering Physics,GEN-EWS,AI,Gender-Neutral,1,1883.0,0.0,2021
IIT-Bombay,Engineering Physics,OBC-NCL,AI,Female-Only,1,3658.0,0.0,2021
IIT-Delhi,Textile Technology,OBC-NCL,AI,Gender-Neutral,1,3100.0,0.0,2021
IIT-Jammu,Chemical Engineering,OBC-NCL,AI,Female-Only,1,9027.0,0.0,2021
IIT-Kanpur,Economics,OBC-NCL,AI,Gender-Neutral,2,1932.0,0.0,2021
IIT-Madras,Physics,OBC-NCL,AI,Gender-Neutral,2,1730.0,0.0,2021
IIT-Kharagpur,Electrical Engineering,GEN,AI,Female-Only,1,4376.0,0.0,2021
IIT-Kharagpur,Electrical Engineering with M.Tech. in any of the listed specializations,GEN,AI,Gender-Neutral,1,2066.0,0.0,2021
IIT-Kharagpur,Mining Engineering,GEN,AI,Gender-Neutral,1,7819.0,459.56501172304235,2021
IIT-Delhi,Computer Science and Engineering,GEN,AI,Female-Only,2,539.5,112.2800880914251,2021
IIT-Roorkee,Electronics and Communication Engineering,GEN,AI,Gender-Neutral,2,1410.0,0.0,2021
NIT-Bhopal,Computer Science and Engineering,OBC-NCL,OS,Female-Only,1,4788.0,0.0,2021
NIT-Raipur,Architecture,OBC-NCL,OS,Female-Only,1,362.0,0.0,2021
NIT-Arunachal-Pradesh,Electronics and Communication Engineering,OBC-NCL,OS,Gender-Neutral,1,9841.0,0.0,2021
NIT-Manipur,Civil Engineering,OBC-NCL,OS,Female-Only,1,18599.0,0.0,2021
NIT-Allahabad,Bio Technology,GEN,HS,Female-Only,1,29976.0,0.0,2021
NIT-Agartala,Electrical Engineering,GEN,OS,Gender-Neutral,1,29614.0,0.0,2021
NIT-Raipur,Bio Medical Engineering,GEN,HS,Gender-Neutral,1,78282.0,0.0,2021
NIT-Kurukshetra,Computer Engineering,GEN,HS,Female-Only,1,11189.0,0.0,2021
IIT-Jammu,Mechanical Engineering,SC,AI,Female-Only,1,3268.0,0.0,2021
IIT-Bombay,BS in Mathematics,GEN,AI,Gender-Neutral,7,1555.0,107.48023074035522,2019
IIT-Bombay,BS in Mathematics,GEN,AI,Female-Only,7,3929.0,1458.054182806661,2019
IIT-Delhi,Biotechnology and Biochemical Engineering,GEN,AI,Female-Only,7,6846.5,176.06958851545033,2019
IIT-(BHU) Varanasi,Electrical Engineering,GEN,AI,Gender-Neutral,7,3112.6666666666665,158.85003409925142,2019
NIT-Patna,Physics,GEN,HS,Female-Only,7,60032.0,0.0,2019
NIT-Jamshedpur,Metallurgical and Materials Engineering,GEN,OS,Gender-Neutral,7,37242.0,0.0,2019
NIT-Manipur,Civil Engineering,GEN,HS,Gender-Neutral,7,187467.0,0.0,2019
IIT-Bombay,Metallurgical Engineering and Materials Science,GEN-EWS,AI,Gender-Neutral,1,792.0,0.0,2021
IIT-Kanpur,Computer Science and Engineering,GEN-EWS,AI,Gender-Neutral,1,48.0,0.0,2021
IIT-Gandhinagar,Materials Engineering,GEN-EWS,AI,Female-Only,1,3837.0,0.0,2021
IIT-(ISM) Dhanbad,Computer Science and Engineering,GEN-EWS,AI,Female-Only,1,698.0,0.0,2021
IIT-(ISM) Dhanbad,Mathematics and Computing,GEN-EWS,AI,Female-Only,1,1239.0,0.0,2021
IIT-(ISM) Dhanbad,Applied Geophysics,OBC-NCL,AI,Gender-Neutral,1,5062.0,0.0,2021
IIT-Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering,OBC-NCL,AI,Gender-Neutral,2,2115.0,0.0,2021
IIT-Kharagpur,Applied Geology,OBC-NCL,AI,Gender-Neutral,2,4997.0,0.0,2021
IIT-Bombay,BS in Mathematics,GEN,AI,Gender-Neutral,1,1602.0,0.0,2021
IIT-Bombay,BS in Mathematics,GEN,AI,Female-Only,1,5037.0,0.0,2021
IIT-Roorkee,Geophysical Technology,GEN,AI,Gender-Neutral,2,8919.0,0.0,2021
NIT-Durgapur,Electrical Engineering,GEN,OS,Gender-Neutral,1,16380.0,0.0,2021
NIT-Karnataka-Surathkal,Electronics and Communication Engineering,GEN,HS,Female-Only,1,9111.0,0.0,2021
NIT-Sikkim,Computer Science and Engineering,GEN,HS,Gender-Neutral,1,161648.0,0.0,2021
NIT-Jamshedpur,Civil Engineering,GEN,OS,Gender-Neutral,1,29649.0,0.0,2021
IIT-Bombay,BS in Mathematics,SC,AI,Gender-Neutral,1,702.0,0.0,2021
IIT-Kharagpur,Electrical Engineering with M.Tech. in any of the listed specializations,SC,AI,Gender-Neutral,1,621.0,0.0,2021
IIT-Kharagpur,Metallurgical and Materials Engineering,SC,AI,Gender-Neutral,1,1778.0,195.315129982293,2021
IIT-Hyderabad,Computer Science and Engineering,SC,AI,Female-Only,1,653.0,0.0,2021
IIT-Ropar,Mathematics and Computing,SC,AI,Female-Only,1,1856.0,0.0,2021
IIT-Delhi,Computer Science and Engineering,GEN,AI,Gender-Neutral,7,135.33333333333334,41.750049900169785,2019
NIT-Jalandhar,Computer Science and Engineering,GEN,HS,Female-Only,7,14638.0,0.0,2019
NIT-Durgapur,Bio Technology,GEN,OS,Female-Only,7,47762.0,0.0,2019
NIT-Goa,Civil Engineering,GEN,HS,Gender-Neutral,7,95270.0,0.0,2019
NIT-Meghalaya,Mechanical Engineering,GEN,OS,Gender-Neutral,7,32063.0,0.0,2019
NIT-Patna,Architecture,GEN,OS,Gender-Neutral,7,3828.0,0.0,2019
NIT-Patna,Mathematics,GEN,OS,Female-Only,7,38555.0,0.0,2019
NIT-Raipur,Civil Engineering,GEN,HS,Female-Only,7,64052.0,0.0,2019
NIT-Warangal,Computer Science and Engineering,GEN,AP,Gender-Neutral,7,2328.0,0.0,2019
IIT-(BHU) Varanasi,Ceramic Engineering,GEN-EWS,AI,Gender-Neutral,1,1915.0,103.4021276376845,2021
IIT-(ISM) Dhanbad,Chemical Engineering,GEN-EWS,AI,Female-Only,1,3061.0,0.0,2021
IIT-Bombay,Civil Engineering,OBC-NCL,AI,Gender-Neutral,1,1623.0,0.0,2021
IIT-Hyderabad,Mathematics and Computing,OBC-NCL,AI,Female-Only,1,1286.0,0.0,2021
IIT-Tirupati,Computer Science and Engineering,OBC-NCL,AI,Female-Only,1,2999.0,0.0,2021
IIT-Bombay,Chemistry,OBC-NCL,AI,Female-Only,2,5966.0,0.0,2021
IIT-Kharagpur,Exploration Geophysics,OBC-NCL,AI,Gender-Neutral,2,4879.0,0.0,2021
